Call,Response
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <user> for two please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul two expensive
<query> can you book a table in a moderate price range with cantonese food for eight in tokyo,i'm on it
<context> <user> can you book a table in a moderate price range with cantonese food for eight in tokyo <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> can you book a table in a moderate price range with cantonese food for eight in tokyo <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese tokyo eight moderate
<query> i'd like to book a table for six with thai cuisine,i'm on it
<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in hanoi,which price range are looking for
<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in hanoi <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in hanoi <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai hanoi six moderate
<query> can you book a table in seoul with cantonese food for six people,i'm on it
<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <query> <SILENCE>,which price range are looking for
<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul six expensive
<query> may i have a table,i'm on it
<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love cantonese food,where should it be
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <query> in bangkok,how many people would be in your party
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <query> we will be four,which price range are looking for
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese bangkok four cheap
<query> may i have a table for eight in seoul,i'm on it
<context> <user> may i have a table for eight in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,which price range are looking for
<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight moderate
<query> can you book a table in tokyo in a moderate price range,i'm on it
<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love japanese food,how many people would be in your party
<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <query> for four please,ok let me look into some options for you
<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese tokyo four moderate
<query> may i have a table in tokyo,i'm on it
<context> <user> may i have a table in tokyo <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love japanese food,how many people would be in your party
<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <query> for four please,which price range are looking for
<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you
<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese tokyo four cheap
<query> can you book a table with vietnamese food for four people,i'm on it
<context> <user> can you book a table with vietnamese food for four people <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you book a table with vietnamese food for four people <system> i'm on it <user> <SILENCE> <system> where should it be <query> in tokyo,which price range are looking for
<context> <user> can you book a table with vietnamese food for four people <system> i'm on it <user> <SILENCE> <system> where should it be <user> in tokyo <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you
<context> <user> can you book a table with vietnamese food for four people <system> i'm on it <user> <SILENCE> <system> where should it be <user> in tokyo <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese tokyo four expensive
<query> may i have a table in hanoi in a expensive price range with korean food,i'm on it
<context> <user> may i have a table in hanoi in a expensive price range with korean food <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> may i have a table in hanoi in a expensive price range with korean food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be six,ok let me look into some options for you
<context> <user> may i have a table in hanoi in a expensive price range with korean food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> ok let me look into some options for you <query> <SILENCE>,api_call korean hanoi six expensive
<query> can you book a table in seoul,i'm on it
<context> <user> can you book a table in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love thai food,how many people would be in your party
<context> <user> can you book a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love thai food <system> how many people would be in your party <query> for six people please,which price range are looking for
<context> <user> can you book a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love thai food <system> how many people would be in your party <user> for six people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> can you book a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love thai food <system> how many people would be in your party <user> for six people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call thai seoul six expensive
<query> may i have a table in a expensive price range for six in bangkok with cantonese food,i'm on it
<context> <user> may i have a table in a expensive price range for six in bangkok with cantonese food <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table in a expensive price range for six in bangkok with cantonese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese bangkok six expensive
<query> i'd like to book a table with japanese cuisine in a moderate price range for four,i'm on it
<context> <user> i'd like to book a table with japanese cuisine in a moderate price range for four <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> i'd like to book a table with japanese cuisine in a moderate price range for four <system> i'm on it <user> <SILENCE> <system> where should it be <query> tokyo please,ok let me look into some options for you
<context> <user> i'd like to book a table with japanese cuisine in a moderate price range for four <system> i'm on it <user> <SILENCE> <system> where should it be <user> tokyo please <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese tokyo four moderate
<query> may i have a table in bangkok for four people,i'm on it
<context> <user> may i have a table in bangkok for four people <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table in bangkok for four people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean cuisine,which price range are looking for
<context> <user> may i have a table in bangkok for four people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean cuisine <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you
<context> <user> may i have a table in bangkok for four people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean cuisine <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call korean bangkok four moderate
<query> can you make a restaurant reservation in hanoi,i'm on it
<context> <user> can you make a restaurant reservation in hanoi <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
