Call,Response
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_6stars <query>  no this does not work for me,sure let me find an other option for you
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_6stars <user>  no this does not work for me <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_5stars
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_6stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_5stars <query>  no i don't like that,sure let me find an other option for you
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_6stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_5stars <user>  no i don't like that <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_1stars
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_6stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_5stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_1stars <query>  let's do it,great let me do the reservation
<query>  good morning,hello what can i help you with today
<query>  i'd like to book a table for four people in paris with french food,i'm on it
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <query>  <SILENCE>,which price range are looking for
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <query>  i am looking for a moderate restaurant,ok let me look into some options for you
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_8stars
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <query>  no i don't like that,sure let me find an other option for you
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  no i don't like that <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_7stars
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_2stars
<context> <user>  i'd like to book a table for four people in paris with french food <system> i'm on it <user>  <SILENCE> <system> which price range are looking for <user>  i am looking for a moderate restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_2stars <query>  it's perfect,great let me do the reservation
<query>  hello,hello what can i help you with today
<query>  can you book a table with french food in a moderate price range in paris for four,i'm on it
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <query>  <SILENCE>,ok let me look into some options for you
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_8stars
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_7stars
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_french_2stars
<context> <user>  can you book a table with french food in a moderate price range in paris for four <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_french_2stars <query>  it's perfect,great let me do the reservation
<query>  hello,hello what can i help you with today
<query>  can you make a restaurant reservation with italian food in madrid in a expensive price range,i'm on it
<context> <user>  can you make a restaurant reservation with italian food in madrid in a expensive price range <system> i'm on it <query>  <SILENCE>,how many people would be in your party
<context> <user>  can you make a restaurant reservation with italian food in madrid in a expensive price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <query>  for two please,ok let me look into some options for you
<context> <user>  can you make a restaurant reservation with italian food in madrid in a expensive price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_madrid_expensive_italian_7stars
<context> <user>  can you make a restaurant reservation with italian food in madrid in a expensive price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_madrid_expensive_italian_7stars <query>  it's perfect,great let me do the reservation
<query>  good morning,hello what can i help you with today
<query>  can you make a restaurant reservation,i'm on it
<context> <user>  can you make a restaurant reservation <system> i'm on it <query>  <SILENCE>,any preference on a type of cuisine
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <query>  with french food,where should it be
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <query>  in paris,how many people would be in your party
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <query>  for four people please,which price range are looking for
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <query>  i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_paris_cheap_french_8stars
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_cheap_french_7stars
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_cheap_french_6stars
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_6stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_6stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_cheap_french_4stars
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_6stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_4stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_6stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_4stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_cheap_french_3stars
<context> <user>  can you make a restaurant reservation <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with french food <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for four people please <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_7stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_6stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_4stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_cheap_french_3stars <query>  i love that,great let me do the reservation
<query>  hi,hello what can i help you with today
<query>  can you book a table with spanish cuisine in paris in a moderate price range,i'm on it
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <query>  <SILENCE>,how many people would be in your party
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <query>  for two please,ok let me look into some options for you
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_8stars
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <query>  no this does not work for me,sure let me find an other option for you
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_5stars
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_5stars <query>  no this does not work for me,sure let me find an other option for you
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_5stars <user>  no this does not work for me <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_4stars
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_5stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_4stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_5stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_4stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_3stars
<context> <user>  can you book a table with spanish cuisine in paris in a moderate price range <system> i'm on it <user>  <SILENCE> <system> how many people would be in your party <user>  for two please <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_5stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_4stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_moderate_spanish_3stars <query>  i love that,great let me do the reservation
<query>  hello,hello what can i help you with today
<query>  can you book a table,i'm on it
<context> <user>  can you book a table <system> i'm on it <query>  <SILENCE>,any preference on a type of cuisine
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <query>  with indian cuisine,where should it be
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <query>  in paris,how many people would be in your party
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <query>  for six please,which price range are looking for
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <query>  i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_paris_expensive_indian_7stars
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <query>  no i don't like that,sure let me find an other option for you
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <user>  no i don't like that <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_expensive_indian_4stars
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_4stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_4stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_expensive_indian_3stars
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_4stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_3stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  in paris <system> how many people would be in your party <user>  for six please <system> which price range are looking for <user>  i am looking for a expensive restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_4stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_paris_expensive_indian_3stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_paris_expensive_indian_2stars
