Call,Response,Count
<SILENCE>,api_call korean tokyo six moderate,10
can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range,i'm on it,11
<SILENCE>,ok let me look into some options for you,11
<SILENCE>,api_call cantonese beijing six cheap,11
can you make a restaurant reservation with vietnamese food in hanoi,i'm on it,12
<SILENCE>,how many people would be in your party,12
for two people please,which price range are looking for,12
in a cheap price range please,ok let me look into some options for you,12
<SILENCE>,api_call vietnamese hanoi two cheap,12
can you make a restaurant reservation,i'm on it,13
<SILENCE>,any preference on a type of cuisine,13
with cantonese cuisine,where should it be,13
in seoul,how many people would be in your party,13
for eight people please,which price range are looking for,13
i am looking for a expensive restaurant,ok let me look into some options for you,13
<SILENCE>,api_call cantonese seoul eight expensive,13
may i have a table in a cheap price range with vietnamese food in hanoi,i'm on it,14
<SILENCE>,how many people would be in your party,14
we will be four,ok let me look into some options for you,14
<SILENCE>,api_call vietnamese hanoi four cheap,14
can you book a table,i'm on it,15
<SILENCE>,any preference on a type of cuisine,15
i love korean food,where should it be,15
in hanoi,how many people would be in your party,15
for eight please,which price range are looking for,15
i am looking for a cheap restaurant,ok let me look into some options for you,15
<SILENCE>,api_call korean hanoi eight cheap,15
i'd like to book a table with korean cuisine for eight,i'm on it,16
<SILENCE>,where should it be,16
seoul please,which price range are looking for,16
in a moderate price range please,ok let me look into some options for you,16
<SILENCE>,api_call korean seoul eight moderate,16
may i have a table with thai cuisine for two people in beijing in a cheap price range,i'm on it,17
<SILENCE>,ok let me look into some options for you,17
<SILENCE>,api_call thai beijing two cheap,17
can you make a restaurant reservation,i'm on it,18
<SILENCE>,any preference on a type of cuisine,18
with vietnamese cuisine,where should it be,18
hanoi please,how many people would be in your party,18
for six people please,which price range are looking for,18
i am looking for a cheap restaurant,ok let me look into some options for you,18
<SILENCE>,api_call vietnamese hanoi six cheap,18
i'd like to book a table in bangkok,i'm on it,19
<SILENCE>,any preference on a type of cuisine,19
with vietnamese cuisine,how many people would be in your party,19
for two please,which price range are looking for,19
i am looking for a cheap restaurant,ok let me look into some options for you,19
<SILENCE>,api_call vietnamese bangkok two cheap,19
can you book a table with korean cuisine in beijing,i'm on it,20
<SILENCE>,how many people would be in your party,20
for eight please,which price range are looking for,20
i am looking for a expensive restaurant,ok let me look into some options for you,20
<SILENCE>,api_call korean beijing eight expensive,20
may i have a table in seoul,i'm on it,21
<SILENCE>,any preference on a type of cuisine,21
with thai cuisine,how many people would be in your party,21
we will be six,which price range are looking for,21
i am looking for a expensive restaurant,ok let me look into some options for you,21
<SILENCE>,api_call thai seoul six expensive,21
i'd like to book a table in hanoi with vietnamese food in a moderate price range for four,i'm on it,22
<SILENCE>,ok let me look into some options for you,22
<SILENCE>,api_call vietnamese hanoi four moderate,22
can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine,i'm on it,23
<SILENCE>,ok let me look into some options for you,23
<SILENCE>,api_call thai beijing six expensive,23
can you make a restaurant reservation,i'm on it,24
<SILENCE>,any preference on a type of cuisine,24
with korean food,where should it be,24
seoul please,how many people would be in your party,24
for two please,which price range are looking for,24
in a expensive price range please,ok let me look into some options for you,24
<SILENCE>,api_call korean seoul two expensive,24
can you book a table in a moderate price range with cantonese food for eight in tokyo,i'm on it,25
<SILENCE>,ok let me look into some options for you,25
<SILENCE>,api_call cantonese tokyo eight moderate,25
i'd like to book a table for six with thai cuisine,i'm on it,26
<SILENCE>,where should it be,26
in hanoi,which price range are looking for,26
in a moderate price range please,ok let me look into some options for you,26
<SILENCE>,api_call thai hanoi six moderate,26
can you book a table in seoul with cantonese food for six people,i'm on it,27
<SILENCE>,which price range are looking for,27
i am looking for a expensive restaurant,ok let me look into some options for you,27
<SILENCE>,api_call cantonese seoul six expensive,27
may i have a table,i'm on it,28
<SILENCE>,any preference on a type of cuisine,28
i love cantonese food,where should it be,28
in bangkok,how many people would be in your party,28
we will be four,which price range are looking for,28
i am looking for a cheap restaurant,ok let me look into some options for you,28
<SILENCE>,api_call cantonese bangkok four cheap,28
may i have a table for eight in seoul,i'm on it,29
<SILENCE>,any preference on a type of cuisine,29
i love korean food,which price range are looking for,29
in a moderate price range please,ok let me look into some options for you,29
<SILENCE>,api_call korean seoul eight moderate,29
can you book a table in tokyo in a moderate price range,i'm on it,30
<SILENCE>,any preference on a type of cuisine,30
i love japanese food,how many people would be in your party,30
for four please,ok let me look into some options for you,30
<SILENCE>,api_call japanese tokyo four moderate,30
may i have a table in tokyo,i'm on it,31
<SILENCE>,any preference on a type of cuisine,31
i love japanese food,how many people would be in your party,31
for four please,which price range are looking for,31
in a cheap price range please,ok let me look into some options for you,31
<SILENCE>,api_call japanese tokyo four cheap,31
can you book a table with vietnamese food for four people,i'm on it,32
<SILENCE>,where should it be,32
in tokyo,which price range are looking for,32
in a expensive price range please,ok let me look into some options for you,32
<SILENCE>,api_call vietnamese tokyo four expensive,32
may i have a table in hanoi in a expensive price range with korean food,i'm on it,33
<SILENCE>,how many people would be in your party,33
we will be six,ok let me look into some options for you,33
<SILENCE>,api_call korean hanoi six expensive,33
can you book a table in seoul,i'm on it,34
<SILENCE>,any preference on a type of cuisine,34
i love thai food,how many people would be in your party,34
for six people please,which price range are looking for,34
i am looking for a expensive restaurant,ok let me look into some options for you,34
<SILENCE>,api_call thai seoul six expensive,34
may i have a table in a expensive price range for six in bangkok with cantonese food,i'm on it,35
<SILENCE>,ok let me look into some options for you,35
<SILENCE>,api_call cantonese bangkok six expensive,35
i'd like to book a table with japanese cuisine in a moderate price range for four,i'm on it,36
<SILENCE>,where should it be,36
tokyo please,ok let me look into some options for you,36
<SILENCE>,api_call japanese tokyo four moderate,36
may i have a table in bangkok for four people,i'm on it,37
<SILENCE>,any preference on a type of cuisine,37
with korean cuisine,which price range are looking for,37
i am looking for a moderate restaurant,ok let me look into some options for you,37
<SILENCE>,api_call korean bangkok four moderate,37
can you make a restaurant reservation in hanoi,i'm on it,38
<SILENCE>,any preference on a type of cuisine,38
i love korean food,how many people would be in your party,38
we will be six,which price range are looking for,38
in a moderate price range please,ok let me look into some options for you,38
<SILENCE>,api_call korean hanoi six moderate,38
i'd like to book a table for six in a moderate price range in beijing,i'm on it,39
<SILENCE>,any preference on a type of cuisine,39
with vietnamese cuisine,ok let me look into some options for you,39
<SILENCE>,api_call vietnamese beijing six moderate,39
may i have a table,i'm on it,40
<SILENCE>,any preference on a type of cuisine,40
with korean food,where should it be,40
seoul please,how many people would be in your party,40
for two people please,which price range are looking for,40
in a expensive price range please,ok let me look into some options for you,40
<SILENCE>,api_call korean seoul two expensive,40
i'd like to book a table for eight people in beijing in a cheap price range with vietnamese food,i'm on it,41
<SILENCE>,ok let me look into some options for you,41
<SILENCE>,api_call vietnamese beijing eight cheap,41
i'd like to book a table in tokyo for four in a expensive price range,i'm on it,42
<SILENCE>,any preference on a type of cuisine,42
with cantonese cuisine,ok let me look into some options for you,42
<SILENCE>,api_call cantonese tokyo four expensive,42
can you book a table with korean cuisine for eight people,i'm on it,43
<SILENCE>,where should it be,43
hanoi please,which price range are looking for,43
i am looking for a moderate restaurant,ok let me look into some options for you,43
<SILENCE>,api_call korean hanoi eight moderate,43
can you book a table in a moderate price range,i'm on it,44
<SILENCE>,any preference on a type of cuisine,44
with vietnamese food,where should it be,44
in bangkok,how many people would be in your party,44
we will be four,ok let me look into some options for you,44
<SILENCE>,api_call vietnamese bangkok four moderate,44
may i have a table in bangkok with japanese cuisine,i'm on it,45
<SILENCE>,how many people would be in your party,45
for four please,which price range are looking for,45
i am looking for a expensive restaurant,ok let me look into some options for you,45
<SILENCE>,api_call japanese bangkok four expensive,45
can you book a table for two,i'm on it,46
<SILENCE>,any preference on a type of cuisine,46
with korean cuisine,where should it be,46
seoul please,which price range are looking for,46
i am looking for a expensive restaurant,ok let me look into some options for you,46
<SILENCE>,api_call korean seoul two expensive,46
can you book a table,i'm on it,47
<SILENCE>,any preference on a type of cuisine,47
with vietnamese food,where should it be,47
in hanoi,how many people would be in your party,47
we will be eight,which price range are looking for,47
i am looking for a cheap restaurant,ok let me look into some options for you,47
<SILENCE>,api_call vietnamese hanoi eight cheap,47
can you book a table for two people,i'm on it,48
<SILENCE>,any preference on a type of cuisine,48
i love cantonese food,where should it be,48
in beijing,which price range are looking for,48
i am looking for a cheap restaurant,ok let me look into some options for you,48
<SILENCE>,api_call cantonese beijing two cheap,48
can you make a restaurant reservation,i'm on it,49
<SILENCE>,any preference on a type of cuisine,49
with cantonese cuisine,where should it be,49
in bangkok,how many people would be in your party,49
for four please,which price range are looking for,49
i am looking for a cheap restaurant,ok let me look into some options for you,49
<SILENCE>,api_call cantonese bangkok four cheap,49
i'd like to book a table in a expensive price range in beijing for eight,i'm on it,50
<SILENCE>,any preference on a type of cuisine,50
with korean cuisine,ok let me look into some options for you,50
<SILENCE>,api_call korean beijing eight expensive,50
i'd like to book a table for four people in tokyo with thai food,i'm on it,51
<SILENCE>,which price range are looking for,51
i am looking for a moderate restaurant,ok let me look into some options for you,51
<SILENCE>,api_call thai tokyo four moderate,51
can you book a table in a cheap price range with vietnamese cuisine in seoul,i'm on it,52
<SILENCE>,how many people would be in your party,52
for two please,ok let me look into some options for you,52
<SILENCE>,api_call vietnamese seoul two cheap,52
can you make a restaurant reservation,i'm on it,53
<SILENCE>,any preference on a type of cuisine,53
with cantonese cuisine,where should it be,53
in bangkok,how many people would be in your party,53
for six please,which price range are looking for,53
in a moderate price range please,ok let me look into some options for you,53
<SILENCE>,api_call cantonese bangkok six moderate,53
can you book a table in a expensive price range with japanese food in bangkok for six people,i'm on it,54
<SILENCE>,ok let me look into some options for you,54
<SILENCE>,api_call japanese bangkok six expensive,54
may i have a table with thai food,i'm on it,55
<SILENCE>,where should it be,55
tokyo please,how many people would be in your party,55
we will be two,which price range are looking for,55
in a expensive price range please,ok let me look into some options for you,55
<SILENCE>,api_call thai tokyo two expensive,55
can you book a table,i'm on it,56
<SILENCE>,any preference on a type of cuisine,56
with vietnamese cuisine,where should it be,56
in beijing,how many people would be in your party,56
for eight people please,which price range are looking for,56
in a cheap price range please,ok let me look into some options for you,56
<SILENCE>,api_call vietnamese beijing eight cheap,56
may i have a table with cantonese food for eight in a cheap price range,i'm on it,57
<SILENCE>,where should it be,57
in beijing,ok let me look into some options for you,57
<SILENCE>,api_call cantonese beijing eight cheap,57
can you book a table for six people in a expensive price range in bangkok with japanese food,i'm on it,58
<SILENCE>,ok let me look into some options for you,58
<SILENCE>,api_call japanese bangkok six expensive,58
may i have a table for four in seoul with cantonese cuisine in a moderate price range,i'm on it,59
<SILENCE>,ok let me look into some options for you,59
<SILENCE>,api_call cantonese seoul four moderate,59
may i have a table for two,i'm on it,60
<SILENCE>,any preference on a type of cuisine,60
i love thai food,where should it be,60
beijing please,which price range are looking for,60
in a cheap price range please,ok let me look into some options for you,60
<SILENCE>,api_call thai beijing two cheap,60
can you book a table,i'm on it,61
<SILENCE>,any preference on a type of cuisine,61
with vietnamese cuisine,where should it be,61
seoul please,how many people would be in your party,61
for six people please,which price range are looking for,61
in a cheap price range please,ok let me look into some options for you,61
<SILENCE>,api_call vietnamese seoul six cheap,61
can you book a table in hanoi for eight people,i'm on it,62
<SILENCE>,any preference on a type of cuisine,62
with korean food,which price range are looking for,62
i am looking for a moderate restaurant,ok let me look into some options for you,62
<SILENCE>,api_call korean hanoi eight moderate,62
i'd like to book a table with korean cuisine in a expensive price range in beijing for eight people,i'm on it,63
<SILENCE>,ok let me look into some options for you,63
<SILENCE>,api_call korean beijing eight expensive,63
can you book a table with korean cuisine in beijing in a moderate price range,i'm on it,64
<SILENCE>,how many people would be in your party,64
for eight please,ok let me look into some options for you,64
<SILENCE>,api_call korean beijing eight moderate,64
can you book a table in a cheap price range in hanoi,i'm on it,65
<SILENCE>,any preference on a type of cuisine,65
with vietnamese food,how many people would be in your party,65
we will be four,ok let me look into some options for you,65
<SILENCE>,api_call vietnamese hanoi four cheap,65
can you make a restaurant reservation with korean food for six people in tokyo,i'm on it,66
<SILENCE>,which price range are looking for,66
i am looking for a expensive restaurant,ok let me look into some options for you,66
<SILENCE>,api_call korean tokyo six expensive,66
can you book a table in bangkok in a cheap price range,i'm on it,67
<SILENCE>,any preference on a type of cuisine,67
with vietnamese cuisine,how many people would be in your party,67
we will be six,ok let me look into some options for you,67
<SILENCE>,api_call vietnamese bangkok six cheap,67
can you make a restaurant reservation for six in beijing,i'm on it,68
<SILENCE>,any preference on a type of cuisine,68
with cantonese food,which price range are looking for,68
in a cheap price range please,ok let me look into some options for you,68
<SILENCE>,api_call cantonese beijing six cheap,68
may i have a table with korean food in a moderate price range in tokyo,i'm on it,69
<SILENCE>,how many people would be in your party,69
we will be eight,ok let me look into some options for you,69
<SILENCE>,api_call korean tokyo eight moderate,69
can you book a table in a moderate price range,i'm on it,70
<SILENCE>,any preference on a type of cuisine,70
i love vietnamese food,where should it be,70
in bangkok,how many people would be in your party,70
we will be two,ok let me look into some options for you,70
<SILENCE>,api_call vietnamese bangkok two moderate,70
may i have a table in tokyo for two with thai cuisine,i'm on it,71
<SILENCE>,which price range are looking for,71
in a expensive price range please,ok let me look into some options for you,71
<SILENCE>,api_call thai tokyo two expensive,71
can you make a restaurant reservation for six people with japanese cuisine in seoul in a expensive price range,i'm on it,72
<SILENCE>,ok let me look into some options for you,72
<SILENCE>,api_call japanese seoul six expensive,72
i'd like to book a table in a cheap price range,i'm on it,73
<SILENCE>,any preference on a type of cuisine,73
with korean cuisine,where should it be,73
in bangkok,how many people would be in your party,73
for four people please,ok let me look into some options for you,73
<SILENCE>,api_call korean bangkok four cheap,73
i'd like to book a table in bangkok,i'm on it,74
<SILENCE>,any preference on a type of cuisine,74
with japanese food,how many people would be in your party,74
for four people please,which price range are looking for,74
in a cheap price range please,ok let me look into some options for you,74
<SILENCE>,api_call japanese bangkok four cheap,74
can you book a table in a cheap price range in bangkok,i'm on it,75
<SILENCE>,any preference on a type of cuisine,75
with thai cuisine,how many people would be in your party,75
for two please,ok let me look into some options for you,75
<SILENCE>,api_call thai bangkok two cheap,75
may i have a table in seoul for six,i'm on it,76
<SILENCE>,any preference on a type of cuisine,76
with korean cuisine,which price range are looking for,76
i am looking for a expensive restaurant,ok let me look into some options for you,76
<SILENCE>,api_call korean seoul six expensive,76
can you make a restaurant reservation,i'm on it,77
<SILENCE>,any preference on a type of cuisine,77
with vietnamese cuisine,where should it be,77
in beijing,how many people would be in your party,77
for four people please,which price range are looking for,77
in a moderate price range please,ok let me look into some options for you,77
<SILENCE>,api_call vietnamese beijing four moderate,77
i'd like to book a table,i'm on it,78
<SILENCE>,any preference on a type of cuisine,78
with korean food,where should it be,78
in beijing,how many people would be in your party,78
we will be six,which price range are looking for,78
i am looking for a moderate restaurant,ok let me look into some options for you,78
<SILENCE>,api_call korean beijing six moderate,78
can you book a table with cantonese cuisine in seoul in a moderate price range,i'm on it,79
<SILENCE>,how many people would be in your party,79
we will be four,ok let me look into some options for you,79
<SILENCE>,api_call cantonese seoul four moderate,79
i'd like to book a table,i'm on it,80
<SILENCE>,any preference on a type of cuisine,80
with vietnamese cuisine,where should it be,80
in tokyo,how many people would be in your party,80
for two please,which price range are looking for,80
i am looking for a expensive restaurant,ok let me look into some options for you,80
<SILENCE>,api_call vietnamese tokyo two expensive,80
may i have a table,i'm on it,81
<SILENCE>,any preference on a type of cuisine,81
i love cantonese food,where should it be,81
in bangkok,how many people would be in your party,81
for eight please,which price range are looking for,81
in a cheap price range please,ok let me look into some options for you,81
<SILENCE>,api_call cantonese bangkok eight cheap,81
i'd like to book a table in tokyo for eight in a cheap price range,i'm on it,82
<SILENCE>,any preference on a type of cuisine,82
with cantonese cuisine,ok let me look into some options for you,82
<SILENCE>,api_call cantonese tokyo eight cheap,82
may i have a table for six people in a moderate price range with cantonese cuisine,i'm on it,83
<SILENCE>,where should it be,83
in beijing,ok let me look into some options for you,83
<SILENCE>,api_call cantonese beijing six moderate,83
i'd like to book a table with japanese food in seoul,i'm on it,84
<SILENCE>,how many people would be in your party,84
for four people please,which price range are looking for,84
in a moderate price range please,ok let me look into some options for you,84
<SILENCE>,api_call japanese seoul four moderate,84
i'd like to book a table,i'm on it,85
<SILENCE>,any preference on a type of cuisine,85
i love thai food,where should it be,85
beijing please,how many people would be in your party,85
for six please,which price range are looking for,85
in a expensive price range please,ok let me look into some options for you,85
<SILENCE>,api_call thai beijing six expensive,85
i'd like to book a table with thai cuisine in beijing for four,i'm on it,86
<SILENCE>,which price range are looking for,86
in a expensive price range please,ok let me look into some options for you,86
<SILENCE>,api_call thai beijing four expensive,86
i'd like to book a table in bangkok with japanese cuisine,i'm on it,87
<SILENCE>,how many people would be in your party,87
we will be four,which price range are looking for,87
i am looking for a expensive restaurant,ok let me look into some options for you,87
<SILENCE>,api_call japanese bangkok four expensive,87
i'd like to book a table in beijing for eight people in a moderate price range with korean cuisine,i'm on it,88
<SILENCE>,ok let me look into some options for you,88
<SILENCE>,api_call korean beijing eight moderate,88
can you make a restaurant reservation for eight people in a expensive price range in hanoi,i'm on it,89
<SILENCE>,any preference on a type of cuisine,89
with vietnamese cuisine,ok let me look into some options for you,89
<SILENCE>,api_call vietnamese hanoi eight expensive,89
can you book a table in a moderate price range for two,i'm on it,90
<SILENCE>,any preference on a type of cuisine,90
with korean cuisine,where should it be,90
in bangkok,ok let me look into some options for you,90
<SILENCE>,api_call korean bangkok two moderate,90
can you book a table with japanese cuisine for four people in hanoi,i'm on it,91
<SILENCE>,which price range are looking for,91
i am looking for a expensive restaurant,ok let me look into some options for you,91
<SILENCE>,api_call japanese hanoi four expensive,91
i'd like to book a table in a expensive price range for four,i'm on it,92
<SILENCE>,any preference on a type of cuisine,92
with thai cuisine,where should it be,92
in seoul,ok let me look into some options for you,92
<SILENCE>,api_call thai seoul four expensive,92
can you book a table with korean cuisine in beijing,i'm on it,93
<SILENCE>,how many people would be in your party,93
we will be four,which price range are looking for,93
in a expensive price range please,ok let me look into some options for you,93
<SILENCE>,api_call korean beijing four expensive,93
can you make a restaurant reservation with cantonese food in a cheap price range in seoul,i'm on it,94
<SILENCE>,how many people would be in your party,94
we will be four,ok let me look into some options for you,94
<SILENCE>,api_call cantonese seoul four cheap,94
can you make a restaurant reservation in a expensive price range for six people in seoul,i'm on it,95
<SILENCE>,any preference on a type of cuisine,95
with cantonese food,ok let me look into some options for you,95
<SILENCE>,api_call cantonese seoul six expensive,95
may i have a table in beijing in a cheap price range,i'm on it,96
<SILENCE>,any preference on a type of cuisine,96
with thai cuisine,how many people would be in your party,96
for two please,ok let me look into some options for you,96
<SILENCE>,api_call thai beijing two cheap,96
may i have a table in a cheap price range in bangkok with japanese food for two,i'm on it,97
<SILENCE>,ok let me look into some options for you,97
<SILENCE>,api_call japanese bangkok two cheap,97
can you book a table in hanoi,i'm on it,98
<SILENCE>,any preference on a type of cuisine,98
i love thai food,how many people would be in your party,98
for two people please,which price range are looking for,98
in a expensive price range please,ok let me look into some options for you,98
<SILENCE>,api_call thai hanoi two expensive,98
i'd like to book a table,i'm on it,99
<SILENCE>,any preference on a type of cuisine,99
i love japanese food,where should it be,99
in beijing,how many people would be in your party,99
for eight please,which price range are looking for,99
i am looking for a moderate restaurant,ok let me look into some options for you,99
<SILENCE>,api_call japanese beijing eight moderate,99
can you make a restaurant reservation for four people with korean cuisine,i'm on it,100
<SILENCE>,where should it be,100
hanoi please,which price range are looking for,100
in a moderate price range please,ok let me look into some options for you,100
<SILENCE>,api_call korean hanoi four moderate,100
can you make a restaurant reservation in tokyo in a moderate price range,i'm on it,101
<SILENCE>,any preference on a type of cuisine,101
with japanese food,how many people would be in your party,101
for two please,ok let me look into some options for you,101
<SILENCE>,api_call japanese tokyo two moderate,101
can you book a table with japanese cuisine,i'm on it,102
<SILENCE>,where should it be,102
in seoul,how many people would be in your party,102
we will be four,which price range are looking for,102
in a expensive price range please,ok let me look into some options for you,102
<SILENCE>,api_call japanese seoul four expensive,102
may i have a table for six in a expensive price range with vietnamese cuisine in hanoi,i'm on it,103
<SILENCE>,ok let me look into some options for you,103
<SILENCE>,api_call vietnamese hanoi six expensive,103
i'd like to book a table in a expensive price range for four people with thai food in seoul,i'm on it,104
<SILENCE>,ok let me look into some options for you,104
<SILENCE>,api_call thai seoul four expensive,104
can you book a table in bangkok for two with vietnamese cuisine,i'm on it,105
<SILENCE>,which price range are looking for,105
in a moderate price range please,ok let me look into some options for you,105
<SILENCE>,api_call vietnamese bangkok two moderate,105
can you make a restaurant reservation,i'm on it,106
<SILENCE>,any preference on a type of cuisine,106
with thai food,where should it be,106
in beijing,how many people would be in your party,106
we will be six,which price range are looking for,106
in a moderate price range please,ok let me look into some options for you,106
<SILENCE>,api_call thai beijing six moderate,106
can you make a restaurant reservation for eight in hanoi in a expensive price range with thai cuisine,i'm on it,107
<SILENCE>,ok let me look into some options for you,107
<SILENCE>,api_call thai hanoi eight expensive,107
can you book a table for eight people in a expensive price range in hanoi,i'm on it,108
<SILENCE>,any preference on a type of cuisine,108
with cantonese food,ok let me look into some options for you,108
<SILENCE>,api_call cantonese hanoi eight expensive,108
can you book a table for six people with cantonese food in bangkok,i'm on it,109
<SILENCE>,which price range are looking for,109
i am looking for a expensive restaurant,ok let me look into some options for you,109
<SILENCE>,api_call cantonese bangkok six expensive,109
can you make a restaurant reservation in a moderate price range for four people,i'm on it,110
<SILENCE>,any preference on a type of cuisine,110
i love japanese food,where should it be,110
seoul please,ok let me look into some options for you,110
<SILENCE>,api_call japanese seoul four moderate,110
can you make a restaurant reservation in a moderate price range for four people,i'm on it,111
<SILENCE>,any preference on a type of cuisine,111
i love korean food,where should it be,111
in beijing,ok let me look into some options for you,111
<SILENCE>,api_call korean beijing four moderate,111
i'd like to book a table,i'm on it,112
<SILENCE>,any preference on a type of cuisine,112
with korean cuisine,where should it be,112
in beijing,how many people would be in your party,112
we will be six,which price range are looking for,112
in a cheap price range please,ok let me look into some options for you,112
<SILENCE>,api_call korean beijing six cheap,112
can you make a restaurant reservation in a expensive price range,i'm on it,113
<SILENCE>,any preference on a type of cuisine,113
with cantonese cuisine,where should it be,113
hanoi please,how many people would be in your party,113
for eight please,ok let me look into some options for you,113
<SILENCE>,api_call cantonese hanoi eight expensive,113
can you book a table in a expensive price range in tokyo for four with thai food,i'm on it,114
<SILENCE>,ok let me look into some options for you,114
<SILENCE>,api_call thai tokyo four expensive,114
can you make a restaurant reservation in hanoi for four in a cheap price range with korean food,i'm on it,115
<SILENCE>,ok let me look into some options for you,115
<SILENCE>,api_call korean hanoi four cheap,115
can you make a restaurant reservation,i'm on it,116
<SILENCE>,any preference on a type of cuisine,116
with vietnamese food,where should it be,116
in seoul,how many people would be in your party,116
we will be two,which price range are looking for,116
i am looking for a expensive restaurant,ok let me look into some options for you,116
<SILENCE>,api_call vietnamese seoul two expensive,116
can you book a table,i'm on it,117
<SILENCE>,any preference on a type of cuisine,117
with korean food,where should it be,117
in beijing,how many people would be in your party,117
we will be six,which price range are looking for,117
i am looking for a moderate restaurant,ok let me look into some options for you,117
<SILENCE>,api_call korean beijing six moderate,117
i'd like to book a table in hanoi for two,i'm on it,118
<SILENCE>,any preference on a type of cuisine,118
i love thai food,which price range are looking for,118
i am looking for a cheap restaurant,ok let me look into some options for you,118
<SILENCE>,api_call thai hanoi two cheap,118
i'd like to book a table for four with vietnamese cuisine in seoul,i'm on it,119
<SILENCE>,which price range are looking for,119
in a expensive price range please,ok let me look into some options for you,119
<SILENCE>,api_call vietnamese seoul four expensive,119
can you book a table with japanese cuisine in a expensive price range in tokyo,i'm on it,120
<SILENCE>,how many people would be in your party,120
for eight please,ok let me look into some options for you,120
<SILENCE>,api_call japanese tokyo eight expensive,120
can you book a table,i'm on it,121
<SILENCE>,any preference on a type of cuisine,121
with vietnamese cuisine,where should it be,121
in hanoi,how many people would be in your party,121
for two please,which price range are looking for,121
i am looking for a cheap restaurant,ok let me look into some options for you,121
<SILENCE>,api_call vietnamese hanoi two cheap,121
may i have a table in a moderate price range for two people,i'm on it,122
<SILENCE>,any preference on a type of cuisine,122
i love vietnamese food,where should it be,122
in bangkok,ok let me look into some options for you,122
<SILENCE>,api_call vietnamese bangkok two moderate,122
can you make a restaurant reservation with thai food in a moderate price range in seoul for two people,i'm on it,123
<SILENCE>,ok let me look into some options for you,123
<SILENCE>,api_call thai seoul two moderate,123
can you book a table in hanoi with thai food,i'm on it,124
<SILENCE>,how many people would be in your party,124
for two please,which price range are looking for,124
i am looking for a expensive restaurant,ok let me look into some options for you,124
<SILENCE>,api_call thai hanoi two expensive,124
can you make a restaurant reservation with cantonese food for eight in a expensive price range in seoul,i'm on it,125
<SILENCE>,ok let me look into some options for you,125
<SILENCE>,api_call cantonese seoul eight expensive,125
can you book a table in seoul with cantonese cuisine,i'm on it,126
<SILENCE>,how many people would be in your party,126
for two please,which price range are looking for,126
in a cheap price range please,ok let me look into some options for you,126
<SILENCE>,api_call cantonese seoul two cheap,126
can you book a table,i'm on it,127
<SILENCE>,any preference on a type of cuisine,127
with korean food,where should it be,127
in hanoi,how many people would be in your party,127
for eight please,which price range are looking for,127
in a moderate price range please,ok let me look into some options for you,127
<SILENCE>,api_call korean hanoi eight moderate,127
may i have a table with thai food,i'm on it,128
<SILENCE>,where should it be,128
in tokyo,how many people would be in your party,128
we will be six,which price range are looking for,128
in a expensive price range please,ok let me look into some options for you,128
<SILENCE>,api_call thai tokyo six expensive,128
may i have a table with cantonese food in a cheap price range in beijing for six people,i'm on it,129
<SILENCE>,ok let me look into some options for you,129
<SILENCE>,api_call cantonese beijing six cheap,129
