Call,Response,Count,KB,Details
can you make a restaurant reservation at resto_madrid_expensive_british_3stars,great let me do the reservation,12,<KB> resto_madrid_expensive_british_3stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,13,,
can you book a table at resto_rome_cheap_indian_4stars,great let me do the reservation,13,<KB> resto_rome_cheap_indian_4stars, <R_cuisine> indian <R_address> resto_rome_cheap_indian_4stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,14,,
can you make a restaurant reservation at resto_london_moderate_british_1stars,great let me do the reservation,14,<KB> resto_london_moderate_british_1stars, <R_cuisine> british <R_address> resto_london_moderate_british_1stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,15,,
can you make a restaurant reservation at resto_rome_expensive_french_6stars,great let me do the reservation,15,<KB> resto_rome_expensive_french_6stars, <R_cuisine> french <R_address> resto_rome_expensive_french_6stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,16,,
i'd like to book a table at resto_rome_expensive_indian_3stars,great let me do the reservation,16,<KB> resto_rome_expensive_indian_3stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_3stars_address <R_location> rome <R_number> six <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,17,,
can you book a table at resto_rome_expensive_italian_5stars,great let me do the reservation,17,<KB> resto_rome_expensive_italian_5stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_5stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,18,,
can you book a table at resto_paris_moderate_british_4stars,great let me do the reservation,18,<KB> resto_paris_moderate_british_4stars, <R_cuisine> british <R_address> resto_paris_moderate_british_4stars_address <R_location> paris <R_number> eight <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,19,,
can you make a restaurant reservation at resto_london_cheap_spanish_4stars,great let me do the reservation,19,<KB> resto_london_cheap_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_cheap_spanish_4stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,20,,
can you book a table at resto_bombay_moderate_spanish_1stars,great let me do the reservation,20,<KB> resto_bombay_moderate_spanish_1stars, <R_cuisine> spanish <R_address> resto_bombay_moderate_spanish_1stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,21,,
may i have a table at resto_paris_cheap_indian_8stars,great let me do the reservation,21,<KB> resto_paris_cheap_indian_8stars, <R_cuisine> indian <R_address> resto_paris_cheap_indian_8stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,22,,
can you book a table at resto_rome_cheap_spanish_1stars,great let me do the reservation,22,<KB> resto_rome_cheap_spanish_1stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_1stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,23,,
can you book a table at resto_bombay_expensive_french_3stars,great let me do the reservation,23,<KB> resto_bombay_expensive_french_3stars, <R_cuisine> french <R_address> resto_bombay_expensive_french_3stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,24,,
i'd like to book a table at resto_london_moderate_italian_6stars,great let me do the reservation,24,<KB> resto_london_moderate_italian_6stars, <R_cuisine> italian <R_address> resto_london_moderate_italian_6stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,25,,
can you make a restaurant reservation at resto_madrid_expensive_indian_2stars,great let me do the reservation,25,<KB> resto_madrid_expensive_indian_2stars, <R_cuisine> indian <R_address> resto_madrid_expensive_indian_2stars_address <R_location> madrid <R_number> six <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,26,,
i'd like to book a table at resto_rome_moderate_spanish_6stars,great let me do the reservation,26,<KB> resto_rome_moderate_spanish_6stars, <R_cuisine> spanish <R_address> resto_rome_moderate_spanish_6stars_address <R_location> rome <R_number> four <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,27,,
i'd like to book a table at resto_london_moderate_indian_5stars,great let me do the reservation,27,<KB> resto_london_moderate_indian_5stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_5stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,28,,
can you book a table at resto_paris_cheap_indian_4stars,great let me do the reservation,28,<KB> resto_paris_cheap_indian_4stars, <R_cuisine> indian <R_address> resto_paris_cheap_indian_4stars_address <R_location> paris <R_number> two <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,29,,
can you book a table at resto_paris_expensive_italian_1stars,great let me do the reservation,29,<KB> resto_paris_expensive_italian_1stars, <R_cuisine> italian <R_address> resto_paris_expensive_italian_1stars_address <R_location> paris <R_number> six <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,30,,
can you make a restaurant reservation at resto_rome_cheap_french_7stars,great let me do the reservation,30,<KB> resto_rome_cheap_french_7stars, <R_cuisine> french <R_address> resto_rome_cheap_french_7stars_address <R_location> rome <R_number> six <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,31,,
i'd like to book a table at resto_paris_cheap_indian_8stars,great let me do the reservation,31,<KB> resto_paris_cheap_indian_8stars, <R_cuisine> indian <R_address> resto_paris_cheap_indian_8stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,32,,
can you book a table at resto_london_moderate_british_7stars,great let me do the reservation,32,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,33,,
can you make a restaurant reservation at resto_london_cheap_british_8stars,great let me do the reservation,33,<KB> resto_london_cheap_british_8stars, <R_cuisine> british <R_address> resto_london_cheap_british_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,34,,
can you book a table at resto_london_moderate_british_7stars,great let me do the reservation,34,<KB> resto_london_moderate_british_7stars, <R_cuisine> british <R_address> resto_london_moderate_british_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,35,,
i'd like to book a table at resto_paris_moderate_british_7stars,great let me do the reservation,35,<KB> resto_paris_moderate_british_7stars, <R_cuisine> british <R_address> resto_paris_moderate_british_7stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,36,,
can you book a table at resto_paris_moderate_british_4stars,great let me do the reservation,36,<KB> resto_paris_moderate_british_4stars, <R_cuisine> british <R_address> resto_paris_moderate_british_4stars_address <R_location> paris <R_number> eight <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,37,,
can you book a table at resto_london_cheap_indian_1stars,great let me do the reservation,37,<KB> resto_london_cheap_indian_1stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_1stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,38,,
i'd like to book a table at resto_bombay_expensive_spanish_7stars,great let me do the reservation,38,<KB> resto_bombay_expensive_spanish_7stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_7stars_address <R_location> bombay <R_number> two <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,39,,
can you book a table at resto_paris_moderate_italian_5stars,great let me do the reservation,39,<KB> resto_paris_moderate_italian_5stars, <R_cuisine> italian <R_address> resto_paris_moderate_italian_5stars_address <R_location> paris <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,40,,
i'd like to book a table at resto_london_moderate_french_5stars,great let me do the reservation,40,<KB> resto_london_moderate_french_5stars, <R_cuisine> french <R_address> resto_london_moderate_french_5stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,41,,
can you book a table at resto_paris_moderate_british_8stars,great let me do the reservation,41,<KB> resto_paris_moderate_british_8stars, <R_cuisine> british <R_address> resto_paris_moderate_british_8stars_address <R_location> paris <R_number> two <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,42,,
may i have a table at resto_london_cheap_british_8stars,great let me do the reservation,42,<KB> resto_london_cheap_british_8stars, <R_cuisine> british <R_address> resto_london_cheap_british_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,43,,
i'd like to book a table at resto_bombay_moderate_italian_3stars,great let me do the reservation,43,<KB> resto_bombay_moderate_italian_3stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_3stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 3 
hi,hello what can i help you with today,44,,
can you book a table at resto_bombay_cheap_spanish_2stars,great let me do the reservation,44,<KB> resto_bombay_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_bombay_cheap_spanish_2stars_address <R_location> bombay <R_number> eight <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,45,,
may i have a table at resto_madrid_expensive_french_8stars,great let me do the reservation,45,<KB> resto_madrid_expensive_french_8stars, <R_cuisine> french <R_address> resto_madrid_expensive_french_8stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,46,,
can you book a table at resto_madrid_cheap_indian_5stars,great let me do the reservation,46,<KB> resto_madrid_cheap_indian_5stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_5stars_address <R_location> madrid <R_number> four <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,47,,
can you make a restaurant reservation at resto_madrid_cheap_spanish_7stars,great let me do the reservation,47,<KB> resto_madrid_cheap_spanish_7stars, <R_cuisine> spanish <R_address> resto_madrid_cheap_spanish_7stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,48,,
may i have a table at resto_bombay_moderate_italian_3stars,great let me do the reservation,48,<KB> resto_bombay_moderate_italian_3stars, <R_cuisine> italian <R_address> resto_bombay_moderate_italian_3stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,49,,
may i have a table at resto_london_moderate_spanish_4stars,great let me do the reservation,49,<KB> resto_london_moderate_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_moderate_spanish_4stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,50,,
can you book a table at resto_paris_cheap_italian_8stars,great let me do the reservation,50,<KB> resto_paris_cheap_italian_8stars, <R_cuisine> italian <R_address> resto_paris_cheap_italian_8stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,51,,
i'd like to book a table at resto_paris_cheap_italian_8stars,great let me do the reservation,51,<KB> resto_paris_cheap_italian_8stars, <R_cuisine> italian <R_address> resto_paris_cheap_italian_8stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,52,,
can you make a restaurant reservation at resto_rome_cheap_spanish_1stars,great let me do the reservation,52,<KB> resto_rome_cheap_spanish_1stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_1stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,53,,
i'd like to book a table at resto_bombay_moderate_french_2stars,great let me do the reservation,53,<KB> resto_bombay_moderate_french_2stars, <R_cuisine> french <R_address> resto_bombay_moderate_french_2stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,54,,
i'd like to book a table at resto_rome_moderate_italian_6stars,great let me do the reservation,54,<KB> resto_rome_moderate_italian_6stars, <R_cuisine> italian <R_address> resto_rome_moderate_italian_6stars_address <R_location> rome <R_number> two <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,55,,
may i have a table at resto_london_moderate_indian_7stars,great let me do the reservation,55,<KB> resto_london_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,56,,
i'd like to book a table at resto_bombay_moderate_british_7stars,great let me do the reservation,56,<KB> resto_bombay_moderate_british_7stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_7stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,57,,
may i have a table at resto_madrid_cheap_indian_8stars,great let me do the reservation,57,<KB> resto_madrid_cheap_indian_8stars, <R_cuisine> indian <R_address> resto_madrid_cheap_indian_8stars_address <R_location> madrid <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,58,,
may i have a table at resto_bombay_moderate_british_7stars,great let me do the reservation,58,<KB> resto_bombay_moderate_british_7stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_7stars_address <R_location> bombay <R_number> two <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,59,,
can you book a table at resto_london_cheap_indian_1stars,great let me do the reservation,59,<KB> resto_london_cheap_indian_1stars, <R_cuisine> indian <R_address> resto_london_cheap_indian_1stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,60,,
i'd like to book a table at resto_madrid_expensive_italian_2stars,great let me do the reservation,60,<KB> resto_madrid_expensive_italian_2stars, <R_cuisine> italian <R_address> resto_madrid_expensive_italian_2stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,61,,
can you make a restaurant reservation at resto_rome_cheap_spanish_1stars,great let me do the reservation,61,<KB> resto_rome_cheap_spanish_1stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_1stars_address <R_location> rome <R_number> eight <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,62,,
can you make a restaurant reservation at resto_bombay_moderate_french_2stars,great let me do the reservation,62,<KB> resto_bombay_moderate_french_2stars, <R_cuisine> french <R_address> resto_bombay_moderate_french_2stars_address <R_location> bombay <R_number> four <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,63,,
can you book a table at resto_rome_cheap_spanish_2stars,great let me do the reservation,63,<KB> resto_rome_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_rome_cheap_spanish_2stars_address <R_location> rome <R_number> two <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,64,,
i'd like to book a table at resto_london_moderate_british_1stars,great let me do the reservation,64,<KB> resto_london_moderate_british_1stars, <R_cuisine> british <R_address> resto_london_moderate_british_1stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 1 
hello,hello what can i help you with today,65,,
may i have a table at resto_bombay_expensive_italian_7stars,great let me do the reservation,65,<KB> resto_bombay_expensive_italian_7stars, <R_cuisine> italian <R_address> resto_bombay_expensive_italian_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,66,,
i'd like to book a table at resto_rome_expensive_spanish_8stars,great let me do the reservation,66,<KB> resto_rome_expensive_spanish_8stars, <R_cuisine> spanish <R_address> resto_rome_expensive_spanish_8stars_address <R_location> rome <R_number> eight <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,67,,
can you book a table at resto_london_moderate_french_8stars,great let me do the reservation,67,<KB> resto_london_moderate_french_8stars, <R_cuisine> french <R_address> resto_london_moderate_french_8stars_address <R_location> london <R_number> two <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,68,,
i'd like to book a table at resto_paris_cheap_spanish_3stars,great let me do the reservation,68,<KB> resto_paris_cheap_spanish_3stars, <R_cuisine> spanish <R_address> resto_paris_cheap_spanish_3stars_address <R_location> paris <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,69,,
may i have a table at resto_rome_expensive_italian_5stars,great let me do the reservation,69,<KB> resto_rome_expensive_italian_5stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_5stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,70,,
can you make a restaurant reservation at resto_london_moderate_french_4stars,great let me do the reservation,70,<KB> resto_london_moderate_french_4stars, <R_cuisine> french <R_address> resto_london_moderate_french_4stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 4 
hi,hello what can i help you with today,71,,
can you book a table at resto_london_moderate_spanish_4stars,great let me do the reservation,71,<KB> resto_london_moderate_spanish_4stars, <R_cuisine> spanish <R_address> resto_london_moderate_spanish_4stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,72,,
i'd like to book a table at resto_london_cheap_italian_6stars,great let me do the reservation,72,<KB> resto_london_cheap_italian_6stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_6stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,73,,
i'd like to book a table at resto_london_cheap_italian_3stars,great let me do the reservation,73,<KB> resto_london_cheap_italian_3stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_3stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,74,,
i'd like to book a table at resto_bombay_cheap_french_5stars,great let me do the reservation,74,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,75,,
i'd like to book a table at resto_madrid_cheap_french_4stars,great let me do the reservation,75,<KB> resto_madrid_cheap_french_4stars, <R_cuisine> french <R_address> resto_madrid_cheap_french_4stars_address <R_location> madrid <R_number> six <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,76,,
can you make a restaurant reservation at resto_madrid_moderate_spanish_6stars,great let me do the reservation,76,<KB> resto_madrid_moderate_spanish_6stars, <R_cuisine> spanish <R_address> resto_madrid_moderate_spanish_6stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,77,,
may i have a table at resto_madrid_moderate_spanish_6stars,great let me do the reservation,77,<KB> resto_madrid_moderate_spanish_6stars, <R_cuisine> spanish <R_address> resto_madrid_moderate_spanish_6stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,78,,
can you make a restaurant reservation at resto_london_cheap_spanish_8stars,great let me do the reservation,78,<KB> resto_london_cheap_spanish_8stars, <R_cuisine> spanish <R_address> resto_london_cheap_spanish_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,79,,
i'd like to book a table at resto_bombay_moderate_british_2stars,great let me do the reservation,79,<KB> resto_bombay_moderate_british_2stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_2stars_address <R_location> bombay <R_number> six <R_price> moderate <R_rating> 2 
hello,hello what can i help you with today,80,,
can you book a table at resto_paris_moderate_british_5stars,great let me do the reservation,80,<KB> resto_paris_moderate_british_5stars, <R_cuisine> british <R_address> resto_paris_moderate_british_5stars_address <R_location> paris <R_number> eight <R_price> moderate <R_rating> 5 
hello,hello what can i help you with today,81,,
i'd like to book a table at resto_bombay_cheap_french_5stars,great let me do the reservation,81,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,82,,
i'd like to book a table at resto_london_expensive_spanish_8stars,great let me do the reservation,82,<KB> resto_london_expensive_spanish_8stars, <R_cuisine> spanish <R_address> resto_london_expensive_spanish_8stars_address <R_location> london <R_number> two <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,83,,
can you book a table at resto_bombay_expensive_spanish_7stars,great let me do the reservation,83,<KB> resto_bombay_expensive_spanish_7stars, <R_cuisine> spanish <R_address> resto_bombay_expensive_spanish_7stars_address <R_location> bombay <R_number> two <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,84,,
can you make a restaurant reservation at resto_paris_expensive_french_6stars,great let me do the reservation,84,<KB> resto_paris_expensive_french_6stars, <R_cuisine> french <R_address> resto_paris_expensive_french_6stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,85,,
i'd like to book a table at resto_bombay_cheap_french_5stars,great let me do the reservation,85,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,86,,
i'd like to book a table at resto_london_cheap_french_5stars,great let me do the reservation,86,<KB> resto_london_cheap_french_5stars, <R_cuisine> french <R_address> resto_london_cheap_french_5stars_address <R_location> london <R_number> four <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,87,,
may i have a table at resto_rome_expensive_british_6stars,great let me do the reservation,87,<KB> resto_rome_expensive_british_6stars, <R_cuisine> british <R_address> resto_rome_expensive_british_6stars_address <R_location> rome <R_number> four <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,88,,
can you book a table at resto_madrid_moderate_british_8stars,great let me do the reservation,88,<KB> resto_madrid_moderate_british_8stars, <R_cuisine> british <R_address> resto_madrid_moderate_british_8stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,89,,
i'd like to book a table at resto_london_cheap_french_8stars,great let me do the reservation,89,<KB> resto_london_cheap_french_8stars, <R_cuisine> french <R_address> resto_london_cheap_french_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,90,,
may i have a table at resto_london_moderate_indian_7stars,great let me do the reservation,90,<KB> resto_london_moderate_indian_7stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_7stars_address <R_location> london <R_number> eight <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,91,,
can you make a restaurant reservation at resto_london_moderate_british_6stars,great let me do the reservation,91,<KB> resto_london_moderate_british_6stars, <R_cuisine> british <R_address> resto_london_moderate_british_6stars_address <R_location> london <R_number> four <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,92,,
may i have a table at resto_london_moderate_indian_4stars,great let me do the reservation,92,<KB> resto_london_moderate_indian_4stars, <R_cuisine> indian <R_address> resto_london_moderate_indian_4stars_address <R_location> london <R_number> six <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,93,,
i'd like to book a table at resto_paris_cheap_italian_7stars,great let me do the reservation,93,<KB> resto_paris_cheap_italian_7stars, <R_cuisine> italian <R_address> resto_paris_cheap_italian_7stars_address <R_location> paris <R_number> four <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,94,,
may i have a table at resto_rome_expensive_indian_3stars,great let me do the reservation,94,<KB> resto_rome_expensive_indian_3stars, <R_cuisine> indian <R_address> resto_rome_expensive_indian_3stars_address <R_location> rome <R_number> six <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,95,,
can you book a table at resto_rome_cheap_british_4stars,great let me do the reservation,95,<KB> resto_rome_cheap_british_4stars, <R_cuisine> british <R_address> resto_rome_cheap_british_4stars_address <R_location> rome <R_number> six <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,96,,
can you book a table at resto_madrid_moderate_british_8stars,great let me do the reservation,96,<KB> resto_madrid_moderate_british_8stars, <R_cuisine> british <R_address> resto_madrid_moderate_british_8stars_address <R_location> madrid <R_number> two <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,97,,
can you book a table at resto_rome_expensive_spanish_3stars,great let me do the reservation,97,<KB> resto_rome_expensive_spanish_3stars, <R_cuisine> spanish <R_address> resto_rome_expensive_spanish_3stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,98,,
i'd like to book a table at resto_paris_moderate_french_5stars,great let me do the reservation,98,<KB> resto_paris_moderate_french_5stars, <R_cuisine> french <R_address> resto_paris_moderate_french_5stars_address <R_location> paris <R_number> six <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,99,,
i'd like to book a table at resto_bombay_cheap_french_5stars,great let me do the reservation,99,<KB> resto_bombay_cheap_french_5stars, <R_cuisine> french <R_address> resto_bombay_cheap_french_5stars_address <R_location> bombay <R_number> six <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,100,,
can you book a table at resto_madrid_expensive_spanish_3stars,great let me do the reservation,100,<KB> resto_madrid_expensive_spanish_3stars, <R_cuisine> spanish <R_address> resto_madrid_expensive_spanish_3stars_address <R_location> madrid <R_number> two <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,101,,
may i have a table at resto_rome_cheap_french_1stars,great let me do the reservation,101,<KB> resto_rome_cheap_french_1stars, <R_cuisine> french <R_address> resto_rome_cheap_french_1stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,102,,
