Call,Response,KB,Count
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_6stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_5stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_2stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 i love that,great let me do the reservation,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 good morning,hello what can i help you with today,,6
 can you make a restaurant reservation in tokyo for four people with thai cuisine,i'm on it,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 <SILENCE>,which price range are looking for,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 in a expensive price range please,ok let me look into some options for you,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_7stars,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_6stars,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 let's do it,great let me do the reservation,<KB> resto_tokyo_expensive_thai_3stars resto_tokyo_expensive_thai_7stars ,6
 good morning,hello what can i help you with today,,7
 can you book a table for four people with korean cuisine in a expensive price range,i'm on it,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 <SILENCE>,where should it be,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 tokyo please,ok let me look into some options for you,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_korean_7stars,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_korean_6stars,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_korean_3stars,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 that looks great,great let me do the reservation,<KB> resto_tokyo_expensive_korean_6stars resto_tokyo_expensive_korean_7stars ,7
 hello,hello what can i help you with today,,8
 i'd like to book a table in a cheap price range in seoul for six with japanese food,i'm on it,<KB> resto_seoul_cheap_japanese_2stars resto_seoul_cheap_japanese_3stars ,8
 <SILENCE>,ok let me look into some options for you,<KB> resto_seoul_cheap_japanese_2stars resto_seoul_cheap_japanese_3stars ,8
 <SILENCE>,what do you think of this option: resto_seoul_cheap_japanese_7stars,<KB> resto_seoul_cheap_japanese_2stars resto_seoul_cheap_japanese_3stars ,8
 i love that,great let me do the reservation,<KB> resto_seoul_cheap_japanese_2stars resto_seoul_cheap_japanese_3stars ,8
 hello,hello what can i help you with today,,9
 can you make a restaurant reservation,i'm on it,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 <SILENCE>,any preference on a type of cuisine,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 i love thai food,where should it be,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 hanoi please,how many people would be in your party,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 for six people please,which price range are looking for,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 <SILENCE>,what do you think of this option: resto_hanoi_moderate_thai_8stars,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 no i don't like that,sure let me find an other option for you,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 <SILENCE>,what do you think of this option: resto_hanoi_moderate_thai_5stars,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 no this does not work for me,sure let me find an other option for you,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 <SILENCE>,what do you think of this option: resto_hanoi_moderate_thai_2stars,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 i love that,great let me do the reservation,<KB> resto_hanoi_moderate_thai_2stars resto_hanoi_moderate_thai_8stars ,9
 hi,hello what can i help you with today,,10
 i'd like to book a table,i'm on it,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 with korean food,where should it be,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 in bangkok,how many people would be in your party,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 for six please,which price range are looking for,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 in a moderate price range please,ok let me look into some options for you,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_8stars,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 no this does not work for me,sure let me find an other option for you,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_7stars,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 no this does not work for me,sure let me find an other option for you,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_3stars,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 no i don't like that,sure let me find an other option for you,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_1stars,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 it's perfect,great let me do the reservation,<KB> resto_bangkok_moderate_korean_1stars resto_bangkok_moderate_korean_8stars ,10
 hello,hello what can i help you with today,,11
 may i have a table in bangkok for two with japanese food in a expensive price range,i'm on it,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 <SILENCE>,ok let me look into some options for you,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 <SILENCE>,what do you think of this option: resto_bangkok_expensive_japanese_7stars,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 no i don't like that,sure let me find an other option for you,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 <SILENCE>,what do you think of this option: resto_bangkok_expensive_japanese_4stars,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 no i don't like that,sure let me find an other option for you,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 <SILENCE>,what do you think of this option: resto_bangkok_expensive_japanese_3stars,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 it's perfect,great let me do the reservation,<KB> resto_bangkok_expensive_japanese_3stars resto_bangkok_expensive_japanese_7stars ,11
 hi,hello what can i help you with today,,12
 may i have a table in a expensive price range for eight with vietnamese cuisine,i'm on it,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 <SILENCE>,where should it be,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 in beijing,ok let me look into some options for you,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 <SILENCE>,what do you think of this option: resto_beijing_expensive_vietnamese_8stars,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 no this does not work for me,sure let me find an other option for you,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 <SILENCE>,what do you think of this option: resto_beijing_expensive_vietnamese_5stars,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 no i don't like that,sure let me find an other option for you,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 <SILENCE>,what do you think of this option: resto_beijing_expensive_vietnamese_3stars,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 no this does not work for me,sure let me find an other option for you,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 <SILENCE>,what do you think of this option: resto_beijing_expensive_vietnamese_1stars,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 it's perfect,great let me do the reservation,<KB> resto_beijing_expensive_vietnamese_3stars resto_beijing_expensive_vietnamese_5stars ,12
 hi,hello what can i help you with today,,13
 can you make a restaurant reservation with japanese cuisine,i'm on it,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 <SILENCE>,where should it be,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 in seoul,how many people would be in your party,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 we will be six,which price range are looking for,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 <SILENCE>,what do you think of this option: resto_seoul_expensive_japanese_5stars,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 no i don't like that,sure let me find an other option for you,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 <SILENCE>,what do you think of this option: resto_seoul_expensive_japanese_3stars,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 no this does not work for me,sure let me find an other option for you,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 <SILENCE>,what do you think of this option: resto_seoul_expensive_japanese_2stars,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 i love that,great let me do the reservation,<KB> resto_seoul_expensive_japanese_2stars resto_seoul_expensive_japanese_3stars ,13
 hi,hello what can i help you with today,,14
 i'd like to book a table in a moderate price range,i'm on it,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 <SILENCE>,any preference on a type of cuisine,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 i love korean food,where should it be,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 in tokyo,how many people would be in your party,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 for six please,ok let me look into some options for you,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_korean_8stars,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_korean_3stars,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_korean_2stars,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 do you have something else,sure let me find an other option for you,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_korean_1stars,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 i love that,great let me do the reservation,<KB> resto_tokyo_moderate_korean_1stars resto_tokyo_moderate_korean_2stars ,14
 hi,hello what can i help you with today,,15
 i'd like to book a table,i'm on it,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 <SILENCE>,any preference on a type of cuisine,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 i love vietnamese food,where should it be,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 tokyo please,how many people would be in your party,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 we will be eight,which price range are looking for,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_vietnamese_6stars,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 do you have something else,sure let me find an other option for you,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_vietnamese_4stars,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 <SILENCE>,what do you think of this option: resto_tokyo_moderate_vietnamese_3stars,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 let's do it,great let me do the reservation,<KB> resto_tokyo_moderate_vietnamese_4stars resto_tokyo_moderate_vietnamese_6stars ,15
 hello,hello what can i help you with today,,16
 can you make a restaurant reservation with thai cuisine in tokyo for two people in a expensive price range,i'm on it,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 <SILENCE>,ok let me look into some options for you,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_8stars,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_4stars,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_2stars,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 let's do it,great let me do the reservation,<KB> resto_tokyo_expensive_thai_2stars resto_tokyo_expensive_thai_4stars ,16
 hello,hello what can i help you with today,,17
 i'd like to book a table,i'm on it,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 <SILENCE>,any preference on a type of cuisine,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 with cantonese cuisine,where should it be,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 in tokyo,how many people would be in your party,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 for four people please,which price range are looking for,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 i am looking for a cheap restaurant,ok let me look into some options for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_8stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 let's do it,great let me do the reservation,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,17
 good morning,hello what can i help you with today,,18
 i'd like to book a table in bangkok with korean food in a moderate price range for six,i'm on it,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 <SILENCE>,ok let me look into some options for you,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_8stars,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 no i don't like that,sure let me find an other option for you,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_korean_7stars,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 that looks great,great let me do the reservation,<KB> resto_bangkok_moderate_korean_3stars resto_bangkok_moderate_korean_8stars ,18
 good morning,hello what can i help you with today,,19
 can you make a restaurant reservation for four people with korean cuisine in a expensive price range,i'm on it,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 <SILENCE>,where should it be,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 seoul please,ok let me look into some options for you,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 <SILENCE>,what do you think of this option: resto_seoul_expensive_korean_7stars,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 no this does not work for me,sure let me find an other option for you,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 <SILENCE>,what do you think of this option: resto_seoul_expensive_korean_4stars,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 do you have something else,sure let me find an other option for you,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 <SILENCE>,what do you think of this option: resto_seoul_expensive_korean_2stars,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 that looks great,great let me do the reservation,<KB> resto_seoul_expensive_korean_4stars resto_seoul_expensive_korean_7stars ,19
 hello,hello what can i help you with today,,20
 may i have a table with cantonese food in tokyo in a cheap price range,i'm on it,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 <SILENCE>,how many people would be in your party,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 for four people please,ok let me look into some options for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_8stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 do you have something else,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_6stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 do you have something else,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_5stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 do you have something else,sure let me find an other option for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_2stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 that looks great,great let me do the reservation,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_5stars ,20
 hello,hello what can i help you with today,,21
 can you book a table in a moderate price range,i'm on it,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 i love vietnamese food,where should it be,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 in bangkok,how many people would be in your party,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 we will be six,ok let me look into some options for you,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_vietnamese_8stars,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 no this does not work for me,sure let me find an other option for you,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_vietnamese_7stars,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 no i don't like that,sure let me find an other option for you,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
 <SILENCE>,what do you think of this option: resto_bangkok_moderate_vietnamese_1stars,<KB> resto_bangkok_moderate_vietnamese_7stars resto_bangkok_moderate_vietnamese_8stars ,21
