Call,Response,Count,KB,Details
i'd like to book a table at resto_tokyo_expensive_cantonese_7stars,great let me do the reservation,37,<KB> resto_tokyo_expensive_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_7stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,38,,
can you book a table at resto_bangkok_cheap_vietnamese_8stars,great let me do the reservation,38,<KB> resto_bangkok_cheap_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_8stars_address <R_location> bangkok <R_number> four <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,39,,
can you book a table at resto_seoul_expensive_vietnamese_6stars,great let me do the reservation,39,<KB> resto_seoul_expensive_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,40,,
i'd like to book a table at resto_bangkok_moderate_japanese_6stars,great let me do the reservation,40,<KB> resto_bangkok_moderate_japanese_6stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_6stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,41,,
i'd like to book a table at resto_bangkok_moderate_thai_6stars,great let me do the reservation,41,<KB> resto_bangkok_moderate_thai_6stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_6stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,42,,
can you make a restaurant reservation at resto_seoul_expensive_thai_7stars,great let me do the reservation,42,<KB> resto_seoul_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,43,,
may i have a table at resto_seoul_cheap_thai_1stars,great let me do the reservation,43,<KB> resto_seoul_cheap_thai_1stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_1stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,44,,
can you make a restaurant reservation at resto_seoul_cheap_cantonese_5stars,great let me do the reservation,44,<KB> resto_seoul_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_cheap_cantonese_5stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,45,,
may i have a table at resto_tokyo_cheap_korean_1stars,great let me do the reservation,45,<KB> resto_tokyo_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_1stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,46,,
can you book a table at resto_beijing_moderate_korean_6stars,great let me do the reservation,46,<KB> resto_beijing_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_6stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 6 
hello,hello what can i help you with today,47,,
i'd like to book a table at resto_seoul_cheap_korean_2stars,great let me do the reservation,47,<KB> resto_seoul_cheap_korean_2stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_2stars_address <R_location> seoul <R_number> six <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,48,,
i'd like to book a table at resto_tokyo_expensive_thai_2stars,great let me do the reservation,48,<KB> resto_tokyo_expensive_thai_2stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_2stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,49,,
can you make a restaurant reservation at resto_tokyo_cheap_korean_4stars,great let me do the reservation,49,<KB> resto_tokyo_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_4stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,50,,
may i have a table at resto_bangkok_moderate_vietnamese_7stars,great let me do the reservation,50,<KB> resto_bangkok_moderate_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_7stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,51,,
can you book a table at resto_seoul_cheap_japanese_4stars,great let me do the reservation,51,<KB> resto_seoul_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_4stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,52,,
can you book a table at resto_beijing_moderate_japanese_4stars,great let me do the reservation,52,<KB> resto_beijing_moderate_japanese_4stars, <R_cuisine> japanese <R_address> resto_beijing_moderate_japanese_4stars_address <R_location> beijing <R_number> eight <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,53,,
can you make a restaurant reservation at resto_beijing_cheap_vietnamese_8stars,great let me do the reservation,53,<KB> resto_beijing_cheap_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_8stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,54,,
may i have a table at resto_bangkok_moderate_cantonese_3stars,great let me do the reservation,54,<KB> resto_bangkok_moderate_cantonese_3stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_3stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,55,,
can you book a table at resto_hanoi_cheap_vietnamese_6stars,great let me do the reservation,55,<KB> resto_hanoi_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_hanoi_cheap_vietnamese_6stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,56,,
can you make a restaurant reservation at resto_tokyo_moderate_thai_8stars,great let me do the reservation,56,<KB> resto_tokyo_moderate_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_moderate_thai_8stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,57,,
can you book a table at resto_seoul_expensive_japanese_8stars,great let me do the reservation,57,<KB> resto_seoul_expensive_japanese_8stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_8stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,58,,
can you make a restaurant reservation at resto_bangkok_cheap_thai_3stars,great let me do the reservation,58,<KB> resto_bangkok_cheap_thai_3stars, <R_cuisine> thai <R_address> resto_bangkok_cheap_thai_3stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,59,,
can you make a restaurant reservation at resto_seoul_cheap_korean_4stars,great let me do the reservation,59,<KB> resto_seoul_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_4stars_address <R_location> seoul <R_number> four <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,60,,
can you make a restaurant reservation at resto_bangkok_cheap_cantonese_7stars,great let me do the reservation,60,<KB> resto_bangkok_cheap_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_bangkok_cheap_cantonese_7stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,61,,
i'd like to book a table at resto_bangkok_expensive_cantonese_8stars,great let me do the reservation,61,<KB> resto_bangkok_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_8stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,62,,
can you book a table at resto_hanoi_moderate_vietnamese_1stars,great let me do the reservation,62,<KB> resto_hanoi_moderate_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_hanoi_moderate_vietnamese_1stars_address <R_location> hanoi <R_number> two <R_price> moderate <R_rating> 1 
hi,hello what can i help you with today,63,,
can you make a restaurant reservation at resto_seoul_cheap_korean_1stars,great let me do the reservation,63,<KB> resto_seoul_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_1stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,64,,
can you book a table at resto_beijing_moderate_korean_8stars,great let me do the reservation,64,<KB> resto_beijing_moderate_korean_8stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_8stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,65,,
can you book a table at resto_hanoi_expensive_thai_8stars,great let me do the reservation,65,<KB> resto_hanoi_expensive_thai_8stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_8stars_address <R_location> hanoi <R_number> four <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,66,,
may i have a table at resto_bangkok_expensive_japanese_4stars,great let me do the reservation,66,<KB> resto_bangkok_expensive_japanese_4stars, <R_cuisine> japanese <R_address> resto_bangkok_expensive_japanese_4stars_address <R_location> bangkok <R_number> two <R_price> expensive <R_rating> 4 
hello,hello what can i help you with today,67,,
can you make a restaurant reservation at resto_seoul_cheap_thai_8stars,great let me do the reservation,67,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,68,,
can you book a table at resto_tokyo_moderate_cantonese_8stars,great let me do the reservation,68,<KB> resto_tokyo_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_moderate_cantonese_8stars_address <R_location> tokyo <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,69,,
may i have a table at resto_seoul_cheap_korean_1stars,great let me do the reservation,69,<KB> resto_seoul_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_1stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,70,,
i'd like to book a table at resto_beijing_cheap_vietnamese_6stars,great let me do the reservation,70,<KB> resto_beijing_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_6stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,71,,
can you book a table at resto_hanoi_expensive_korean_3stars,great let me do the reservation,71,<KB> resto_hanoi_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_hanoi_expensive_korean_3stars_address <R_location> hanoi <R_number> two <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,72,,
i'd like to book a table at resto_tokyo_expensive_cantonese_5stars,great let me do the reservation,72,<KB> resto_tokyo_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_5stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,73,,
may i have a table at resto_bangkok_expensive_cantonese_2stars,great let me do the reservation,73,<KB> resto_bangkok_expensive_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_2stars_address <R_location> bangkok <R_number> six <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,74,,
can you make a restaurant reservation at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,74,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,75,,
i'd like to book a table at resto_hanoi_moderate_japanese_2stars,great let me do the reservation,75,<KB> resto_hanoi_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_hanoi_moderate_japanese_2stars_address <R_location> hanoi <R_number> four <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,76,,
can you make a restaurant reservation at resto_tokyo_cheap_thai_7stars,great let me do the reservation,76,<KB> resto_tokyo_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_7stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,77,,
may i have a table at resto_bangkok_moderate_thai_8stars,great let me do the reservation,77,<KB> resto_bangkok_moderate_thai_8stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_8stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,78,,
i'd like to book a table at resto_bangkok_moderate_vietnamese_4stars,great let me do the reservation,78,<KB> resto_bangkok_moderate_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_4stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 4 
hi,hello what can i help you with today,79,,
i'd like to book a table at resto_seoul_moderate_cantonese_7stars,great let me do the reservation,79,<KB> resto_seoul_moderate_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_seoul_moderate_cantonese_7stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,80,,
can you make a restaurant reservation at resto_beijing_expensive_japanese_5stars,great let me do the reservation,80,<KB> resto_beijing_expensive_japanese_5stars, <R_cuisine> japanese <R_address> resto_beijing_expensive_japanese_5stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,81,,
can you make a restaurant reservation at resto_seoul_cheap_korean_3stars,great let me do the reservation,81,<KB> resto_seoul_cheap_korean_3stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_3stars_address <R_location> seoul <R_number> six <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,82,,
may i have a table at resto_seoul_cheap_korean_1stars,great let me do the reservation,82,<KB> resto_seoul_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_1stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,83,,
can you book a table at resto_hanoi_expensive_thai_2stars,great let me do the reservation,83,<KB> resto_hanoi_expensive_thai_2stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_2stars_address <R_location> hanoi <R_number> eight <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,84,,
can you book a table at resto_tokyo_expensive_cantonese_8stars,great let me do the reservation,84,<KB> resto_tokyo_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,85,,
can you book a table at resto_tokyo_cheap_thai_6stars,great let me do the reservation,85,<KB> resto_tokyo_cheap_thai_6stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_6stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,86,,
i'd like to book a table at resto_hanoi_cheap_cantonese_5stars,great let me do the reservation,86,<KB> resto_hanoi_cheap_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_hanoi_cheap_cantonese_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,87,,
i'd like to book a table at resto_seoul_cheap_japanese_5stars,great let me do the reservation,87,<KB> resto_seoul_cheap_japanese_5stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_5stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,88,,
can you book a table at resto_bangkok_moderate_vietnamese_5stars,great let me do the reservation,88,<KB> resto_bangkok_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_5stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,89,,
may i have a table at resto_tokyo_cheap_vietnamese_1stars,great let me do the reservation,89,<KB> resto_tokyo_cheap_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_tokyo_cheap_vietnamese_1stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,90,,
i'd like to book a table at resto_bangkok_moderate_vietnamese_8stars,great let me do the reservation,90,<KB> resto_bangkok_moderate_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_8stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,91,,
can you book a table at resto_hanoi_expensive_thai_8stars,great let me do the reservation,91,<KB> resto_hanoi_expensive_thai_8stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_8stars_address <R_location> hanoi <R_number> four <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,92,,
can you make a restaurant reservation at resto_tokyo_expensive_korean_5stars,great let me do the reservation,92,<KB> resto_tokyo_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_5stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,93,,
