Call,Response,KB,Count
 <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_1stars,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 let's do it,great let me do the reservation,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 good morning,hello what can i help you with today,,3
 i'd like to book a table for four people in paris with french food,i'm on it,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 <SILENCE>,which price range are looking for,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_8stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_7stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_2stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 it's perfect,great let me do the reservation,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_7stars ,3
 hello,hello what can i help you with today,,4
 can you book a table with french food in a moderate price range in paris for four,i'm on it,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 <SILENCE>,ok let me look into some options for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_8stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_7stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_2stars,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 it's perfect,great let me do the reservation,<KB> resto_paris_moderate_french_2stars resto_paris_moderate_french_8stars ,4
 hello,hello what can i help you with today,,5
 can you make a restaurant reservation with italian food in madrid in a expensive price range,i'm on it,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,5
 <SILENCE>,how many people would be in your party,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,5
 for two please,ok let me look into some options for you,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,5
 <SILENCE>,what do you think of this option: resto_madrid_expensive_italian_7stars,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,5
 it's perfect,great let me do the reservation,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,5
 good morning,hello what can i help you with today,,6
 can you make a restaurant reservation,i'm on it,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,any preference on a type of cuisine,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 with french food,where should it be,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 in paris,how many people would be in your party,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 for four people please,which price range are looking for,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 i am looking for a cheap restaurant,ok let me look into some options for you,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,what do you think of this option: resto_paris_cheap_french_8stars,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 do you have something else,sure let me find an other option for you,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,what do you think of this option: resto_paris_cheap_french_7stars,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 do you have something else,sure let me find an other option for you,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,what do you think of this option: resto_paris_cheap_french_6stars,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 do you have something else,sure let me find an other option for you,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,what do you think of this option: resto_paris_cheap_french_4stars,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 do you have something else,sure let me find an other option for you,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 <SILENCE>,what do you think of this option: resto_paris_cheap_french_3stars,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 i love that,great let me do the reservation,<KB> resto_paris_cheap_french_3stars resto_paris_cheap_french_4stars ,6
 hi,hello what can i help you with today,,7
 can you book a table with spanish cuisine in paris in a moderate price range,i'm on it,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 <SILENCE>,how many people would be in your party,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 for two please,ok let me look into some options for you,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_8stars,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_5stars,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_4stars,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 <SILENCE>,what do you think of this option: resto_paris_moderate_spanish_3stars,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 i love that,great let me do the reservation,<KB> resto_paris_moderate_spanish_4stars resto_paris_moderate_spanish_8stars ,7
 hello,hello what can i help you with today,,8
 can you book a table,i'm on it,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,any preference on a type of cuisine,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 with indian cuisine,where should it be,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 in paris,how many people would be in your party,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 for six please,which price range are looking for,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_indian_7stars,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_indian_4stars,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_indian_3stars,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_indian_2stars,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_indian_1stars,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 i love that,great let me do the reservation,<KB> resto_paris_expensive_indian_1stars resto_paris_expensive_indian_7stars ,8
 good morning,hello what can i help you with today,,9
 can you make a restaurant reservation with indian food in a cheap price range in paris for four,i'm on it,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 <SILENCE>,ok let me look into some options for you,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 <SILENCE>,what do you think of this option: resto_paris_cheap_indian_7stars,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 <SILENCE>,what do you think of this option: resto_paris_cheap_indian_6stars,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 <SILENCE>,what do you think of this option: resto_paris_cheap_indian_3stars,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 i love that,great let me do the reservation,<KB> resto_paris_cheap_indian_3stars resto_paris_cheap_indian_7stars ,9
 hello,hello what can i help you with today,,10
 may i have a table,i'm on it,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 with indian cuisine,where should it be,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 london please,how many people would be in your party,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 for four please,which price range are looking for,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 in a moderate price range please,ok let me look into some options for you,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 <SILENCE>,what do you think of this option: resto_london_moderate_indian_3stars,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 <SILENCE>,what do you think of this option: resto_london_moderate_indian_2stars,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 <SILENCE>,what do you think of this option: resto_london_moderate_indian_1stars,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 it's perfect,great let me do the reservation,<KB> resto_london_moderate_indian_2stars resto_london_moderate_indian_3stars ,10
 hello,hello what can i help you with today,,11
 i'd like to book a table in madrid with italian cuisine for two in a expensive price range,i'm on it,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 <SILENCE>,ok let me look into some options for you,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 <SILENCE>,what do you think of this option: resto_madrid_expensive_italian_7stars,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 no this does not work for me,sure let me find an other option for you,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 <SILENCE>,what do you think of this option: resto_madrid_expensive_italian_4stars,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 i love that,great let me do the reservation,<KB> resto_madrid_expensive_italian_4stars resto_madrid_expensive_italian_7stars ,11
 hello,hello what can i help you with today,,12
 can you book a table,i'm on it,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 i love indian food,where should it be,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 in bombay,how many people would be in your party,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 we will be two,which price range are looking for,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 in a cheap price range please,ok let me look into some options for you,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 <SILENCE>,what do you think of this option: resto_bombay_cheap_indian_7stars,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 no this does not work for me,sure let me find an other option for you,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 <SILENCE>,what do you think of this option: resto_bombay_cheap_indian_4stars,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 i love that,great let me do the reservation,<KB> resto_bombay_cheap_indian_4stars resto_bombay_cheap_indian_7stars ,12
 hi,hello what can i help you with today,,13
 i'd like to book a table in a expensive price range in rome with indian cuisine,i'm on it,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 <SILENCE>,how many people would be in your party,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 we will be two,ok let me look into some options for you,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 <SILENCE>,what do you think of this option: resto_rome_expensive_indian_8stars,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 no this does not work for me,sure let me find an other option for you,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 <SILENCE>,what do you think of this option: resto_rome_expensive_indian_6stars,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 no this does not work for me,sure let me find an other option for you,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 <SILENCE>,what do you think of this option: resto_rome_expensive_indian_2stars,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 do you have something else,sure let me find an other option for you,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 <SILENCE>,what do you think of this option: resto_rome_expensive_indian_1stars,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 i love that,great let me do the reservation,<KB> resto_rome_expensive_indian_1stars resto_rome_expensive_indian_8stars ,13
 hi,hello what can i help you with today,,14
 may i have a table,i'm on it,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 with british food,where should it be,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 in london,how many people would be in your party,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 for four please,which price range are looking for,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 <SILENCE>,what do you think of this option: resto_london_expensive_british_8stars,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 no i don't like that,sure let me find an other option for you,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 <SILENCE>,what do you think of this option: resto_london_expensive_british_7stars,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 no i don't like that,sure let me find an other option for you,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 <SILENCE>,what do you think of this option: resto_london_expensive_british_1stars,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 that looks great,great let me do the reservation,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,14
 hi,hello what can i help you with today,,15
 can you make a restaurant reservation for six,i'm on it,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 with british cuisine,where should it be,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 in london,which price range are looking for,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 in a expensive price range please,ok let me look into some options for you,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 <SILENCE>,what do you think of this option: resto_london_expensive_british_4stars,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 that looks great,great let me do the reservation,<KB> resto_london_expensive_british_2stars resto_london_expensive_british_3stars ,15
 good morning,hello what can i help you with today,,16
 may i have a table for eight people in a moderate price range,i'm on it,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 with italian food,where should it be,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 in london,ok let me look into some options for you,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 <SILENCE>,what do you think of this option: resto_london_moderate_italian_7stars,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 do you have something else,sure let me find an other option for you,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 <SILENCE>,what do you think of this option: resto_london_moderate_italian_4stars,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 <SILENCE>,what do you think of this option: resto_london_moderate_italian_3stars,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 that looks great,great let me do the reservation,<KB> resto_london_moderate_italian_4stars resto_london_moderate_italian_7stars ,16
 hi,hello what can i help you with today,,17
 may i have a table,i'm on it,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 with italian food,where should it be,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 bombay please,how many people would be in your party,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 we will be six,which price range are looking for,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 in a moderate price range please,ok let me look into some options for you,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 <SILENCE>,what do you think of this option: resto_bombay_moderate_italian_7stars,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 that looks great,great let me do the reservation,<KB> resto_bombay_moderate_italian_6stars resto_bombay_moderate_italian_7stars ,17
 hi,hello what can i help you with today,,18
 may i have a table,i'm on it,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 with british food,where should it be,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 london please,how many people would be in your party,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 for four people please,which price range are looking for,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 <SILENCE>,what do you think of this option: resto_london_expensive_british_8stars,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 let's do it,great let me do the reservation,<KB> resto_london_expensive_british_1stars resto_london_expensive_british_7stars ,18
 good morning,hello what can i help you with today,,19
 can you book a table in madrid in a cheap price range with italian food for six,i'm on it,<KB> resto_madrid_cheap_italian_4stars resto_madrid_cheap_italian_5stars ,19
 <SILENCE>,ok let me look into some options for you,<KB> resto_madrid_cheap_italian_4stars resto_madrid_cheap_italian_5stars ,19
 <SILENCE>,what do you think of this option: resto_madrid_cheap_italian_8stars,<KB> resto_madrid_cheap_italian_4stars resto_madrid_cheap_italian_5stars ,19
 i love that,great let me do the reservation,<KB> resto_madrid_cheap_italian_4stars resto_madrid_cheap_italian_5stars ,19
 good morning,hello what can i help you with today,,20
 can you make a restaurant reservation for four with british cuisine,i'm on it,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 <SILENCE>,where should it be,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 in london,which price range are looking for,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 in a expensive price range please,ok let me look into some options for you,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 <SILENCE>,what do you think of this option: resto_london_expensive_british_8stars,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 that looks great,great let me do the reservation,<KB> resto_london_expensive_british_7stars resto_london_expensive_british_8stars ,20
 hi,hello what can i help you with today,,21
 i'd like to book a table in london,i'm on it,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 i love italian food,how many people would be in your party,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 we will be four,which price range are looking for,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 <SILENCE>,what do you think of this option: resto_london_expensive_italian_7stars,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 that looks great,great let me do the reservation,<KB> resto_london_expensive_italian_6stars resto_london_expensive_italian_7stars ,21
 good morning,hello what can i help you with today,,22
 can you book a table in a moderate price range in paris with french cuisine for six people,i'm on it,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 <SILENCE>,ok let me look into some options for you,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_6stars,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 <SILENCE>,what do you think of this option: resto_paris_moderate_french_5stars,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 that looks great,great let me do the reservation,<KB> resto_paris_moderate_french_5stars resto_paris_moderate_french_6stars ,22
 hello,hello what can i help you with today,,23
 can you make a restaurant reservation with spanish cuisine,i'm on it,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 <SILENCE>,where should it be,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 in paris,how many people would be in your party,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 for four people please,which price range are looking for,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 in a cheap price range please,ok let me look into some options for you,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 <SILENCE>,what do you think of this option: resto_paris_cheap_spanish_8stars,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 <SILENCE>,what do you think of this option: resto_paris_cheap_spanish_2stars,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 do you have something else,sure let me find an other option for you,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 <SILENCE>,what do you think of this option: resto_paris_cheap_spanish_1stars,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 it's perfect,great let me do the reservation,<KB> resto_paris_cheap_spanish_1stars resto_paris_cheap_spanish_2stars ,23
 hello,hello what can i help you with today,,24
 i'd like to book a table in london,i'm on it,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 with british cuisine,how many people would be in your party,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 for four people please,which price range are looking for,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 <SILENCE>,what do you think of this option: resto_london_moderate_british_8stars,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
 <SILENCE>,what do you think of this option: resto_london_moderate_british_6stars,<KB> resto_london_moderate_british_6stars resto_london_moderate_british_8stars ,24
