Call,Response,Count
<SILENCE>,api_call korean beijing eight moderate,8
actually i would prefer for two,sure is there anything else to update,8
actually i would prefer with japanese cuisine,sure is there anything else to update,8
no,ok let me look into some options for you,8
<SILENCE>,api_call japanese beijing two moderate,8
thanks,you're welcome,8
can you book a table with cantonese cuisine in a expensive price range for six in seoul,i'm on it,9
<SILENCE>,ok let me look into some options for you,9
<SILENCE>,api_call cantonese seoul six expensive,9
instead could it be in a moderate price range,sure is there anything else to update,9
actually i would prefer in beijing,sure is there anything else to update,9
actually i would prefer with japanese food,sure is there anything else to update,9
no,ok let me look into some options for you,9
<SILENCE>,api_call japanese beijing six moderate,9
 you rock,you're welcome,9
i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight,i'm on it,10
<SILENCE>,ok let me look into some options for you,10
<SILENCE>,api_call thai tokyo eight expensive,10
actually i would prefer in beijing,sure is there anything else to update,10
actually i would prefer for four,sure is there anything else to update,10
no,ok let me look into some options for you,10
<SILENCE>,api_call thai beijing four expensive,10
thank you,you're welcome,10
may i have a table with cantonese food in a moderate price range in beijing for six people,i'm on it,11
<SILENCE>,ok let me look into some options for you,11
<SILENCE>,api_call cantonese beijing six moderate,11
instead could it be for four,sure is there anything else to update,11
no,ok let me look into some options for you,11
<SILENCE>,api_call cantonese beijing four moderate,11
you rock,you're welcome,11
can you book a table in a moderate price range for eight people in bangkok with korean cuisine,i'm on it,12
<SILENCE>,ok let me look into some options for you,12
<SILENCE>,api_call korean bangkok eight moderate,12
actually i would prefer in beijing,sure is there anything else to update,12
actually i would prefer with thai food,sure is there anything else to update,12
actually i would prefer in a expensive price range,sure is there anything else to update,12
actually i would prefer for six people,sure is there anything else to update,12
no,ok let me look into some options for you,12
 <SILENCE>,api_call thai beijing six expensive,12
 thank you,you're welcome,12
can you book a table in bangkok with cantonese cuisine in a expensive price range for six people,i'm on it,13
<SILENCE>,ok let me look into some options for you,13
<SILENCE>,api_call cantonese bangkok six expensive,13
instead could it be with thai cuisine,sure is there anything else to update,13
instead could it be in beijing,sure is there anything else to update,13
actually i would prefer in a cheap price range,sure is there anything else to update,13
no,ok let me look into some options for you,13
<SILENCE>,api_call thai beijing six cheap,13
 thank you,you're welcome,13
i'd like to book a table in tokyo in a expensive price range with cantonese cuisine for two,i'm on it,14
<SILENCE>,ok let me look into some options for you,14
<SILENCE>,api_call cantonese tokyo two expensive,14
actually i would prefer in a cheap price range,sure is there anything else to update,14
instead could it be in beijing,sure is there anything else to update,14
no,ok let me look into some options for you,14
<SILENCE>,api_call cantonese beijing two cheap,14
thanks,you're welcome,14
can you book a table in seoul with thai food in a moderate price range for eight people,i'm on it,15
<SILENCE>,ok let me look into some options for you,15
<SILENCE>,api_call thai seoul eight moderate,15
instead could it be in beijing,sure is there anything else to update,15
actually i would prefer for six,sure is there anything else to update,15
instead could it be in a cheap price range,sure is there anything else to update,15
no,ok let me look into some options for you,15
<SILENCE>,api_call thai beijing six cheap,15
 thank you,you're welcome,15
can you make a restaurant reservation for eight people in a cheap price range with thai food in beijing,i'm on it,16
<SILENCE>,ok let me look into some options for you,16
<SILENCE>,api_call thai beijing eight cheap,16
actually i would prefer in bangkok,sure is there anything else to update,16
actually i would prefer for two,sure is there anything else to update,16
instead could it be with japanese cuisine,sure is there anything else to update,16
no,ok let me look into some options for you,16
<SILENCE>,api_call japanese bangkok two cheap,16
 you rock,you're welcome,16
can you book a table for eight people with cantonese food in beijing in a expensive price range,i'm on it,17
<SILENCE>,ok let me look into some options for you,17
<SILENCE>,api_call cantonese beijing eight expensive,17
instead could it be in hanoi,sure is there anything else to update,17
instead could it be in a cheap price range,sure is there anything else to update,17
no,ok let me look into some options for you,17
<SILENCE>,api_call cantonese hanoi eight cheap,17
thanks,you're welcome,17
may i have a table in a expensive price range in hanoi for two with thai cuisine,i'm on it,18
<SILENCE>,ok let me look into some options for you,18
<SILENCE>,api_call thai hanoi two expensive,18
actually i would prefer in a cheap price range,sure is there anything else to update,18
actually i would prefer for six people,sure is there anything else to update,18
instead could it be with cantonese cuisine,sure is there anything else to update,18
no,ok let me look into some options for you,18
<SILENCE>,api_call cantonese hanoi six cheap,18
 thanks,you're welcome,18
can you make a restaurant reservation for six in hanoi in a expensive price range with japanese food,i'm on it,19
<SILENCE>,ok let me look into some options for you,19
<SILENCE>,api_call japanese hanoi six expensive,19
actually i would prefer in a cheap price range,sure is there anything else to update,19
actually i would prefer with thai food,sure is there anything else to update,19
instead could it be in beijing,sure is there anything else to update,19
instead could it be for two people,sure is there anything else to update,19
no,ok let me look into some options for you,19
 <SILENCE>,api_call thai beijing two cheap,19
 you rock,you're welcome,19
can you book a table for eight people in seoul with thai cuisine in a moderate price range,i'm on it,20
<SILENCE>,ok let me look into some options for you,20
<SILENCE>,api_call thai seoul eight moderate,20
instead could it be in beijing,sure is there anything else to update,20
instead could it be with vietnamese cuisine,sure is there anything else to update,20
instead could it be for four,sure is there anything else to update,20
actually i would prefer in a cheap price range,sure is there anything else to update,20
no,ok let me look into some options for you,20
 <SILENCE>,api_call vietnamese beijing four cheap,20
 you rock,you're welcome,20
may i have a table for four in hanoi in a moderate price range with korean food,i'm on it,21
<SILENCE>,ok let me look into some options for you,21
<SILENCE>,api_call korean hanoi four moderate,21
actually i would prefer with vietnamese cuisine,sure is there anything else to update,21
no,ok let me look into some options for you,21
<SILENCE>,api_call vietnamese hanoi four moderate,21
you rock,you're welcome,21
may i have a table for two with cantonese cuisine in seoul in a moderate price range,i'm on it,22
<SILENCE>,ok let me look into some options for you,22
<SILENCE>,api_call cantonese seoul two moderate,22
actually i would prefer in a expensive price range,sure is there anything else to update,22
instead could it be with thai food,sure is there anything else to update,22
actually i would prefer in bangkok,sure is there anything else to update,22
instead could it be for six people,sure is there anything else to update,22
no,ok let me look into some options for you,22
 <SILENCE>,api_call thai bangkok six expensive,22
 thank you,you're welcome,22
i'd like to book a table with thai cuisine for six in a cheap price range in tokyo,i'm on it,23
<SILENCE>,ok let me look into some options for you,23
<SILENCE>,api_call thai tokyo six cheap,23
actually i would prefer in beijing,sure is there anything else to update,23
no,ok let me look into some options for you,23
<SILENCE>,api_call thai beijing six cheap,23
thanks,you're welcome,23
can you make a restaurant reservation for six people with thai food in a cheap price range in hanoi,i'm on it,24
<SILENCE>,ok let me look into some options for you,24
<SILENCE>,api_call thai hanoi six cheap,24
actually i would prefer with vietnamese cuisine,sure is there anything else to update,24
instead could it be for eight,sure is there anything else to update,24
actually i would prefer in a expensive price range,sure is there anything else to update,24
instead could it be in seoul,sure is there anything else to update,24
no,ok let me look into some options for you,24
 <SILENCE>,api_call vietnamese seoul eight expensive,24
 thanks,you're welcome,24
can you make a restaurant reservation for six people with thai cuisine in tokyo in a cheap price range,i'm on it,25
<SILENCE>,ok let me look into some options for you,25
<SILENCE>,api_call thai tokyo six cheap,25
actually i would prefer in a expensive price range,sure is there anything else to update,25
actually i would prefer with korean cuisine,sure is there anything else to update,25
no,ok let me look into some options for you,25
<SILENCE>,api_call korean tokyo six expensive,25
you rock,you're welcome,25
can you book a table in a expensive price range in bangkok with japanese food for four,i'm on it,26
<SILENCE>,ok let me look into some options for you,26
<SILENCE>,api_call japanese bangkok four expensive,26
actually i would prefer in hanoi,sure is there anything else to update,26
no,ok let me look into some options for you,26
<SILENCE>,api_call japanese hanoi four expensive,26
thank you,you're welcome,26
may i have a table for two people in tokyo with japanese cuisine in a moderate price range,i'm on it,27
<SILENCE>,ok let me look into some options for you,27
<SILENCE>,api_call japanese tokyo two moderate,27
instead could it be in a cheap price range,sure is there anything else to update,27
actually i would prefer with vietnamese food,sure is there anything else to update,27
actually i would prefer for four people,sure is there anything else to update,27
no,ok let me look into some options for you,27
<SILENCE>,api_call vietnamese tokyo four cheap,27
 thank you,you're welcome,27
can you book a table in a cheap price range in seoul with vietnamese food for eight people,i'm on it,28
<SILENCE>,ok let me look into some options for you,28
<SILENCE>,api_call vietnamese seoul eight cheap,28
instead could it be for four,sure is there anything else to update,28
no,ok let me look into some options for you,28
<SILENCE>,api_call vietnamese seoul four cheap,28
thanks,you're welcome,28
may i have a table in tokyo for eight in a expensive price range with korean cuisine,i'm on it,29
<SILENCE>,ok let me look into some options for you,29
<SILENCE>,api_call korean tokyo eight expensive,29
actually i would prefer in a moderate price range,sure is there anything else to update,29
instead could it be in seoul,sure is there anything else to update,29
instead could it be with japanese food,sure is there anything else to update,29
actually i would prefer for six people,sure is there anything else to update,29
no,ok let me look into some options for you,29
 <SILENCE>,api_call japanese seoul six moderate,29
 thanks,you're welcome,29
i'd like to book a table in beijing with korean cuisine in a expensive price range for six people,i'm on it,30
<SILENCE>,ok let me look into some options for you,30
<SILENCE>,api_call korean beijing six expensive,30
actually i would prefer with japanese food,sure is there anything else to update,30
instead could it be for four people,sure is there anything else to update,30
no,ok let me look into some options for you,30
<SILENCE>,api_call japanese beijing four expensive,30
thanks,you're welcome,30
i'd like to book a table for eight in bangkok with japanese cuisine in a moderate price range,i'm on it,31
<SILENCE>,ok let me look into some options for you,31
<SILENCE>,api_call japanese bangkok eight moderate,31
actually i would prefer with thai food,sure is there anything else to update,31
no,ok let me look into some options for you,31
<SILENCE>,api_call thai bangkok eight moderate,31
thanks,you're welcome,31
may i have a table in a moderate price range in bangkok with vietnamese food for two,i'm on it,32
<SILENCE>,ok let me look into some options for you,32
<SILENCE>,api_call vietnamese bangkok two moderate,32
instead could it be in a cheap price range,sure is there anything else to update,32
instead could it be in beijing,sure is there anything else to update,32
actually i would prefer for six,sure is there anything else to update,32
no,ok let me look into some options for you,32
<SILENCE>,api_call vietnamese beijing six cheap,32
 you rock,you're welcome,32
can you book a table with cantonese cuisine in a moderate price range for eight people in tokyo,i'm on it,33
<SILENCE>,ok let me look into some options for you,33
<SILENCE>,api_call cantonese tokyo eight moderate,33
actually i would prefer with thai food,sure is there anything else to update,33
actually i would prefer in bangkok,sure is there anything else to update,33
instead could it be in a expensive price range,sure is there anything else to update,33
actually i would prefer for six people,sure is there anything else to update,33
no,ok let me look into some options for you,33
 <SILENCE>,api_call thai bangkok six expensive,33
 thanks,you're welcome,33
can you make a restaurant reservation in tokyo in a moderate price range with cantonese cuisine for eight,i'm on it,34
<SILENCE>,ok let me look into some options for you,34
<SILENCE>,api_call cantonese tokyo eight moderate,34
actually i would prefer in a cheap price range,sure is there anything else to update,34
actually i would prefer in beijing,sure is there anything else to update,34
actually i would prefer for two people,sure is there anything else to update,34
instead could it be with japanese cuisine,sure is there anything else to update,34
no,ok let me look into some options for you,34
 <SILENCE>,api_call japanese beijing two cheap,34
 thanks,you're welcome,34
may i have a table in tokyo for six people with thai food in a cheap price range,i'm on it,35
<SILENCE>,ok let me look into some options for you,35
<SILENCE>,api_call thai tokyo six cheap,35
actually i would prefer in hanoi,sure is there anything else to update,35
no,ok let me look into some options for you,35
<SILENCE>,api_call thai hanoi six cheap,35
thank you,you're welcome,35
i'd like to book a table in bangkok for eight people in a moderate price range with korean cuisine,i'm on it,36
<SILENCE>,ok let me look into some options for you,36
<SILENCE>,api_call korean bangkok eight moderate,36
actually i would prefer for six,sure is there anything else to update,36
no,ok let me look into some options for you,36
<SILENCE>,api_call korean bangkok six moderate,36
thanks,you're welcome,36
can you book a table in beijing for six in a expensive price range with thai food,i'm on it,37
<SILENCE>,ok let me look into some options for you,37
<SILENCE>,api_call thai beijing six expensive,37
actually i would prefer for eight,sure is there anything else to update,37
instead could it be with korean food,sure is there anything else to update,37
instead could it be in seoul,sure is there anything else to update,37
instead could it be in a moderate price range,sure is there anything else to update,37
no,ok let me look into some options for you,37
 <SILENCE>,api_call korean seoul eight moderate,37
 you rock,you're welcome,37
i'd like to book a table for two with korean food in a moderate price range in beijing,i'm on it,38
<SILENCE>,ok let me look into some options for you,38
<SILENCE>,api_call korean beijing two moderate,38
instead could it be for six,sure is there anything else to update,38
instead could it be in tokyo,sure is there anything else to update,38
instead could it be in a cheap price range,sure is there anything else to update,38
no,ok let me look into some options for you,38
<SILENCE>,api_call korean tokyo six cheap,38
 thanks,you're welcome,38
can you book a table in bangkok with thai cuisine for six people in a cheap price range,i'm on it,39
<SILENCE>,ok let me look into some options for you,39
<SILENCE>,api_call thai bangkok six cheap,39
instead could it be in a expensive price range,sure is there anything else to update,39
actually i would prefer with korean cuisine,sure is there anything else to update,39
instead could it be in seoul,sure is there anything else to update,39
actually i would prefer for two people,sure is there anything else to update,39
no,ok let me look into some options for you,39
 <SILENCE>,api_call korean seoul two expensive,39
 thanks,you're welcome,39
i'd like to book a table for two people with korean cuisine in beijing in a expensive price range,i'm on it,40
<SILENCE>,ok let me look into some options for you,40
<SILENCE>,api_call korean beijing two expensive,40
instead could it be with thai food,sure is there anything else to update,40
actually i would prefer in hanoi,sure is there anything else to update,40
actually i would prefer for eight people,sure is there anything else to update,40
actually i would prefer in a cheap price range,sure is there anything else to update,40
no,ok let me look into some options for you,40
 <SILENCE>,api_call thai hanoi eight cheap,40
 you rock,you're welcome,40
can you make a restaurant reservation in beijing with japanese food for eight people in a expensive price range,i'm on it,41
<SILENCE>,ok let me look into some options for you,41
<SILENCE>,api_call japanese beijing eight expensive,41
actually i would prefer with thai cuisine,sure is there anything else to update,41
instead could it be in a cheap price range,sure is there anything else to update,41
no,ok let me look into some options for you,41
<SILENCE>,api_call thai beijing eight cheap,41
you rock,you're welcome,41
may i have a table in a moderate price range in beijing with korean food for four people,i'm on it,42
<SILENCE>,ok let me look into some options for you,42
<SILENCE>,api_call korean beijing four moderate,42
instead could it be for eight people,sure is there anything else to update,42
actually i would prefer in tokyo,sure is there anything else to update,42
actually i would prefer with cantonese food,sure is there anything else to update,42
no,ok let me look into some options for you,42
<SILENCE>,api_call cantonese tokyo eight moderate,42
 thanks,you're welcome,42
i'd like to book a table in tokyo in a expensive price range for two with cantonese food,i'm on it,43
<SILENCE>,ok let me look into some options for you,43
<SILENCE>,api_call cantonese tokyo two expensive,43
actually i would prefer with vietnamese food,sure is there anything else to update,43
no,ok let me look into some options for you,43
<SILENCE>,api_call vietnamese tokyo two expensive,43
you rock,you're welcome,43
can you make a restaurant reservation with korean food in a moderate price range in beijing for two,i'm on it,44
<SILENCE>,ok let me look into some options for you,44
<SILENCE>,api_call korean beijing two moderate,44
instead could it be in a expensive price range,sure is there anything else to update,44
no,ok let me look into some options for you,44
<SILENCE>,api_call korean beijing two expensive,44
thanks,you're welcome,44
can you book a table in bangkok for two people in a moderate price range with thai cuisine,i'm on it,45
<SILENCE>,ok let me look into some options for you,45
<SILENCE>,api_call thai bangkok two moderate,45
instead could it be with japanese cuisine,sure is there anything else to update,45
no,ok let me look into some options for you,45
<SILENCE>,api_call japanese bangkok two moderate,45
thank you,you're welcome,45
i'd like to book a table for six in seoul in a expensive price range with japanese cuisine,i'm on it,46
<SILENCE>,ok let me look into some options for you,46
<SILENCE>,api_call japanese seoul six expensive,46
actually i would prefer for eight people,sure is there anything else to update,46
actually i would prefer in bangkok,sure is there anything else to update,46
actually i would prefer with korean food,sure is there anything else to update,46
actually i would prefer in a cheap price range,sure is there anything else to update,46
no,ok let me look into some options for you,46
 <SILENCE>,api_call korean bangkok eight cheap,46
 thank you,you're welcome,46
i'd like to book a table with cantonese food in seoul for six people in a expensive price range,i'm on it,47
<SILENCE>,ok let me look into some options for you,47
<SILENCE>,api_call cantonese seoul six expensive,47
actually i would prefer with korean food,sure is there anything else to update,47
no,ok let me look into some options for you,47
<SILENCE>,api_call korean seoul six expensive,47
you rock,you're welcome,47
i'd like to book a table in bangkok for two with korean food in a moderate price range,i'm on it,48
<SILENCE>,ok let me look into some options for you,48
<SILENCE>,api_call korean bangkok two moderate,48
actually i would prefer in a cheap price range,sure is there anything else to update,48
no,ok let me look into some options for you,48
<SILENCE>,api_call korean bangkok two cheap,48
thanks,you're welcome,48
can you make a restaurant reservation for eight with thai food in a moderate price range in bangkok,i'm on it,49
<SILENCE>,ok let me look into some options for you,49
<SILENCE>,api_call thai bangkok eight moderate,49
actually i would prefer with korean food,sure is there anything else to update,49
no,ok let me look into some options for you,49
<SILENCE>,api_call korean bangkok eight moderate,49
thank you,you're welcome,49
can you book a table in tokyo in a cheap price range with cantonese food for six,i'm on it,50
<SILENCE>,ok let me look into some options for you,50
<SILENCE>,api_call cantonese tokyo six cheap,50
instead could it be in seoul,sure is there anything else to update,50
no,ok let me look into some options for you,50
<SILENCE>,api_call cantonese seoul six cheap,50
thank you,you're welcome,50
may i have a table for two with vietnamese cuisine in tokyo in a expensive price range,i'm on it,51
<SILENCE>,ok let me look into some options for you,51
<SILENCE>,api_call vietnamese tokyo two expensive,51
actually i would prefer with thai cuisine,sure is there anything else to update,51
actually i would prefer in a cheap price range,sure is there anything else to update,51
actually i would prefer for six people,sure is there anything else to update,51
actually i would prefer in beijing,sure is there anything else to update,51
no,ok let me look into some options for you,51
 <SILENCE>,api_call thai beijing six cheap,51
 thanks,you're welcome,51
may i have a table with cantonese food in a moderate price range in bangkok for eight,i'm on it,52
<SILENCE>,ok let me look into some options for you,52
<SILENCE>,api_call cantonese bangkok eight moderate,52
actually i would prefer for two people,sure is there anything else to update,52
no,ok let me look into some options for you,52
<SILENCE>,api_call cantonese bangkok two moderate,52
you rock,you're welcome,52
can you make a restaurant reservation in a cheap price range in hanoi with korean cuisine for two,i'm on it,53
<SILENCE>,ok let me look into some options for you,53
<SILENCE>,api_call korean hanoi two cheap,53
instead could it be in a expensive price range,sure is there anything else to update,53
instead could it be with japanese food,sure is there anything else to update,53
no,ok let me look into some options for you,53
<SILENCE>,api_call japanese hanoi two expensive,53
you rock,you're welcome,53
can you book a table with cantonese cuisine in tokyo for six in a cheap price range,i'm on it,54
<SILENCE>,ok let me look into some options for you,54
<SILENCE>,api_call cantonese tokyo six cheap,54
actually i would prefer with korean food,sure is there anything else to update,54
actually i would prefer for four,sure is there anything else to update,54
no,ok let me look into some options for you,54
<SILENCE>,api_call korean tokyo four cheap,54
you rock,you're welcome,54
can you book a table with korean food in a expensive price range for two people in beijing,i'm on it,55
<SILENCE>,ok let me look into some options for you,55
<SILENCE>,api_call korean beijing two expensive,55
instead could it be in seoul,sure is there anything else to update,55
no,ok let me look into some options for you,55
<SILENCE>,api_call korean seoul two expensive,55
you rock,you're welcome,55
i'd like to book a table in a moderate price range for six in tokyo with korean cuisine,i'm on it,56
<SILENCE>,ok let me look into some options for you,56
<SILENCE>,api_call korean tokyo six moderate,56
instead could it be in bangkok,sure is there anything else to update,56
instead could it be in a expensive price range,sure is there anything else to update,56
actually i would prefer for eight,sure is there anything else to update,56
actually i would prefer with vietnamese food,sure is there anything else to update,56
no,ok let me look into some options for you,56
 <SILENCE>,api_call vietnamese bangkok eight expensive,56
 you rock,you're welcome,56
may i have a table in a moderate price range in seoul with japanese food for four,i'm on it,57
<SILENCE>,ok let me look into some options for you,57
<SILENCE>,api_call japanese seoul four moderate,57
actually i would prefer for six,sure is there anything else to update,57
instead could it be in beijing,sure is there anything else to update,57
no,ok let me look into some options for you,57
<SILENCE>,api_call japanese beijing six moderate,57
thank you,you're welcome,57
can you book a table for eight people in beijing with cantonese food in a moderate price range,i'm on it,58
<SILENCE>,ok let me look into some options for you,58
<SILENCE>,api_call cantonese beijing eight moderate,58
instead could it be in tokyo,sure is there anything else to update,58
instead could it be in a expensive price range,sure is there anything else to update,58
instead could it be for six,sure is there anything else to update,58
instead could it be with japanese cuisine,sure is there anything else to update,58
no,ok let me look into some options for you,58
 <SILENCE>,api_call japanese tokyo six expensive,58
 thank you,you're welcome,58
can you book a table in a moderate price range for two with vietnamese cuisine in bangkok,i'm on it,59
<SILENCE>,ok let me look into some options for you,59
<SILENCE>,api_call vietnamese bangkok two moderate,59
actually i would prefer for four people,sure is there anything else to update,59
no,ok let me look into some options for you,59
<SILENCE>,api_call vietnamese bangkok four moderate,59
thank you,you're welcome,59
i'd like to book a table with japanese cuisine for six in hanoi in a expensive price range,i'm on it,60
<SILENCE>,ok let me look into some options for you,60
<SILENCE>,api_call japanese hanoi six expensive,60
instead could it be for four,sure is there anything else to update,60
actually i would prefer in beijing,sure is there anything else to update,60
actually i would prefer with cantonese food,sure is there anything else to update,60
no,ok let me look into some options for you,60
<SILENCE>,api_call cantonese beijing four expensive,60
 you rock,you're welcome,60
i'd like to book a table for six in hanoi in a cheap price range with korean cuisine,i'm on it,61
<SILENCE>,ok let me look into some options for you,61
<SILENCE>,api_call korean hanoi six cheap,61
instead could it be in a moderate price range,sure is there anything else to update,61
instead could it be for eight,sure is there anything else to update,61
no,ok let me look into some options for you,61
<SILENCE>,api_call korean hanoi eight moderate,61
thanks,you're welcome,61
may i have a table in a moderate price range with japanese cuisine in hanoi for four,i'm on it,62
<SILENCE>,ok let me look into some options for you,62
<SILENCE>,api_call japanese hanoi four moderate,62
instead could it be in seoul,sure is there anything else to update,62
no,ok let me look into some options for you,62
<SILENCE>,api_call japanese seoul four moderate,62
you rock,you're welcome,62
may i have a table in a moderate price range for eight people in bangkok with thai food,i'm on it,63
<SILENCE>,ok let me look into some options for you,63
<SILENCE>,api_call thai bangkok eight moderate,63
actually i would prefer for four people,sure is there anything else to update,63
no,ok let me look into some options for you,63
<SILENCE>,api_call thai bangkok four moderate,63
you rock,you're welcome,63
can you book a table with japanese food in a moderate price range for two in tokyo,i'm on it,64
<SILENCE>,ok let me look into some options for you,64
<SILENCE>,api_call japanese tokyo two moderate,64
actually i would prefer with vietnamese cuisine,sure is there anything else to update,64
actually i would prefer for four,sure is there anything else to update,64
actually i would prefer in a cheap price range,sure is there anything else to update,64
actually i would prefer in seoul,sure is there anything else to update,64
no,ok let me look into some options for you,64
 <SILENCE>,api_call vietnamese seoul four cheap,64
 thank you,you're welcome,64
i'd like to book a table in bangkok for eight with korean food in a cheap price range,i'm on it,65
<SILENCE>,ok let me look into some options for you,65
<SILENCE>,api_call korean bangkok eight cheap,65
instead could it be in tokyo,sure is there anything else to update,65
actually i would prefer with japanese cuisine,sure is there anything else to update,65
no,ok let me look into some options for you,65
<SILENCE>,api_call japanese tokyo eight cheap,65
thank you,you're welcome,65
may i have a table for eight in beijing in a expensive price range with korean food,i'm on it,66
<SILENCE>,ok let me look into some options for you,66
<SILENCE>,api_call korean beijing eight expensive,66
actually i would prefer for four people,sure is there anything else to update,66
instead could it be in hanoi,sure is there anything else to update,66
instead could it be with vietnamese cuisine,sure is there anything else to update,66
no,ok let me look into some options for you,66
<SILENCE>,api_call vietnamese hanoi four expensive,66
 thanks,you're welcome,66
can you make a restaurant reservation for four in a expensive price range with cantonese food in seoul,i'm on it,67
<SILENCE>,ok let me look into some options for you,67
<SILENCE>,api_call cantonese seoul four expensive,67
actually i would prefer in bangkok,sure is there anything else to update,67
instead could it be for six,sure is there anything else to update,67
no,ok let me look into some options for you,67
<SILENCE>,api_call cantonese bangkok six expensive,67
thanks,you're welcome,67
can you make a restaurant reservation for six people with korean cuisine in a moderate price range in seoul,i'm on it,68
<SILENCE>,ok let me look into some options for you,68
<SILENCE>,api_call korean seoul six moderate,68
instead could it be for four people,sure is there anything else to update,68
no,ok let me look into some options for you,68
<SILENCE>,api_call korean seoul four moderate,68
thanks,you're welcome,68
can you book a table with japanese food in beijing in a moderate price range for six,i'm on it,69
<SILENCE>,ok let me look into some options for you,69
<SILENCE>,api_call japanese beijing six moderate,69
actually i would prefer with vietnamese cuisine,sure is there anything else to update,69
instead could it be in bangkok,sure is there anything else to update,69
actually i would prefer in a expensive price range,sure is there anything else to update,69
actually i would prefer for four people,sure is there anything else to update,69
no,ok let me look into some options for you,69
 <SILENCE>,api_call vietnamese bangkok four expensive,69
 you rock,you're welcome,69
can you make a restaurant reservation for six in a moderate price range with japanese cuisine in bangkok,i'm on it,70
<SILENCE>,ok let me look into some options for you,70
<SILENCE>,api_call japanese bangkok six moderate,70
actually i would prefer for four people,sure is there anything else to update,70
instead could it be in a expensive price range,sure is there anything else to update,70
instead could it be with vietnamese cuisine,sure is there anything else to update,70
actually i would prefer in hanoi,sure is there anything else to update,70
no,ok let me look into some options for you,70
 <SILENCE>,api_call vietnamese hanoi four expensive,70
 thanks,you're welcome,70
can you book a table in tokyo in a cheap price range for six people with thai cuisine,i'm on it,71
<SILENCE>,ok let me look into some options for you,71
<SILENCE>,api_call thai tokyo six cheap,71
instead could it be for two,sure is there anything else to update,71
actually i would prefer in beijing,sure is there anything else to update,71
no,ok let me look into some options for you,71
<SILENCE>,api_call thai beijing two cheap,71
thank you,you're welcome,71
may i have a table with korean food in a expensive price range in seoul for four,i'm on it,72
<SILENCE>,ok let me look into some options for you,72
<SILENCE>,api_call korean seoul four expensive,72
actually i would prefer for eight,sure is there anything else to update,72
instead could it be with japanese cuisine,sure is there anything else to update,72
instead could it be in a moderate price range,sure is there anything else to update,72
instead could it be in bangkok,sure is there anything else to update,72
no,ok let me look into some options for you,72
