Call,Response,KB,Count
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_1stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 it's perfect,great let me do the reservation,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 good morning,hello what can i help you with today,,3
 may i have a table in a moderate price range for two with british food in paris,i'm on it,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 <SILENCE>,ok let me look into some options for you,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_british_8stars,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_british_7stars,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 <SILENCE>,what do you think of this option: resto_paris_moderate_british_6stars,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 i love that,great let me do the reservation,<KB> resto_paris_moderate_british_6stars resto_paris_moderate_british_7stars ,3
 hi,hello what can i help you with today,,4
 i'd like to book a table in london for four in a expensive price range,i'm on it,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 <SILENCE>,any preference on a type of cuisine,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 i love indian food,ok let me look into some options for you,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 <SILENCE>,what do you think of this option: resto_london_expensive_indian_6stars,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 no i don't like that,sure let me find an other option for you,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 <SILENCE>,what do you think of this option: resto_london_expensive_indian_2stars,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 no i don't like that,sure let me find an other option for you,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 <SILENCE>,what do you think of this option: resto_london_expensive_indian_1stars,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 let's do it,great let me do the reservation,<KB> resto_london_expensive_indian_1stars resto_london_expensive_indian_6stars ,4
 hello,hello what can i help you with today,,5
 can you book a table in rome in a moderate price range,i'm on it,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 <SILENCE>,any preference on a type of cuisine,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 with british food,how many people would be in your party,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 for two please,ok let me look into some options for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_8stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_4stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 do you have something else,sure let me find an other option for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_2stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 that looks great,great let me do the reservation,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,5
 hi,hello what can i help you with today,,6
 can you book a table,i'm on it,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 <SILENCE>,any preference on a type of cuisine,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 i love italian food,where should it be,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 in rome,how many people would be in your party,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 for four please,which price range are looking for,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 <SILENCE>,what do you think of this option: resto_rome_moderate_italian_8stars,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 <SILENCE>,what do you think of this option: resto_rome_moderate_italian_3stars,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 <SILENCE>,what do you think of this option: resto_rome_moderate_italian_2stars,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 i love that,great let me do the reservation,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,6
 hi,hello what can i help you with today,,7
 can you make a restaurant reservation for four people with italian cuisine in rome,i'm on it,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 <SILENCE>,which price range are looking for,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 in a moderate price range please,ok let me look into some options for you,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 <SILENCE>,what do you think of this option: resto_rome_moderate_italian_8stars,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 <SILENCE>,what do you think of this option: resto_rome_moderate_italian_3stars,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 that looks great,great let me do the reservation,<KB> resto_rome_moderate_italian_2stars resto_rome_moderate_italian_3stars ,7
 hi,hello what can i help you with today,,8
 may i have a table with spanish cuisine in a expensive price range,i'm on it,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 <SILENCE>,where should it be,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 in paris,how many people would be in your party,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 for four people please,ok let me look into some options for you,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_8stars,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_7stars,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_3stars,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 i love that,great let me do the reservation,<KB> resto_paris_expensive_spanish_3stars resto_paris_expensive_spanish_7stars ,8
 hi,hello what can i help you with today,,9
 may i have a table in bombay,i'm on it,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 with italian food,how many people would be in your party,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 we will be six,which price range are looking for,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 in a cheap price range please,ok let me look into some options for you,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 <SILENCE>,what do you think of this option: resto_bombay_cheap_italian_8stars,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 i love that,great let me do the reservation,<KB> resto_bombay_cheap_italian_3stars resto_bombay_cheap_italian_4stars ,9
 good morning,hello what can i help you with today,,10
 i'd like to book a table with british cuisine for six people in a moderate price range in bombay,i'm on it,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 <SILENCE>,ok let me look into some options for you,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 <SILENCE>,what do you think of this option: resto_bombay_moderate_british_8stars,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 no i don't like that,sure let me find an other option for you,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 <SILENCE>,what do you think of this option: resto_bombay_moderate_british_3stars,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 let's do it,great let me do the reservation,<KB> resto_bombay_moderate_british_3stars resto_bombay_moderate_british_8stars ,10
 hi,hello what can i help you with today,,11
 may i have a table,i'm on it,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 <SILENCE>,any preference on a type of cuisine,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 i love italian food,where should it be,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 paris please,how many people would be in your party,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 we will be eight,which price range are looking for,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_6stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_5stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_2stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 it's perfect,great let me do the reservation,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,11
 good morning,hello what can i help you with today,,12
 may i have a table in rome for six people with british food in a expensive price range,i'm on it,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 <SILENCE>,ok let me look into some options for you,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 <SILENCE>,what do you think of this option: resto_rome_expensive_british_8stars,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 <SILENCE>,what do you think of this option: resto_rome_expensive_british_5stars,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 i love that,great let me do the reservation,<KB> resto_rome_expensive_british_2stars resto_rome_expensive_british_8stars ,12
 hello,hello what can i help you with today,,13
 can you book a table in madrid in a cheap price range,i'm on it,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 <SILENCE>,any preference on a type of cuisine,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 with british food,how many people would be in your party,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 for two people please,ok let me look into some options for you,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 <SILENCE>,what do you think of this option: resto_madrid_cheap_british_5stars,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 no this does not work for me,sure let me find an other option for you,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 <SILENCE>,what do you think of this option: resto_madrid_cheap_british_4stars,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 i love that,great let me do the reservation,<KB> resto_madrid_cheap_british_4stars resto_madrid_cheap_british_5stars ,13
 hi,hello what can i help you with today,,14
 can you make a restaurant reservation in london with french food,i'm on it,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 <SILENCE>,how many people would be in your party,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 we will be two,which price range are looking for,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 <SILENCE>,what do you think of this option: resto_london_expensive_french_6stars,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 it's perfect,great let me do the reservation,<KB> resto_london_expensive_french_1stars resto_london_expensive_french_3stars ,14
 hello,hello what can i help you with today,,15
 i'd like to book a table with french cuisine in london for two,i'm on it,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 <SILENCE>,which price range are looking for,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 <SILENCE>,what do you think of this option: resto_london_expensive_french_6stars,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 <SILENCE>,what do you think of this option: resto_london_expensive_french_5stars,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 <SILENCE>,what do you think of this option: resto_london_expensive_french_3stars,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 no i don't like that,sure let me find an other option for you,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 <SILENCE>,what do you think of this option: resto_london_expensive_french_1stars,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 it's perfect,great let me do the reservation,<KB> resto_london_expensive_french_3stars resto_london_expensive_french_6stars ,15
 good morning,hello what can i help you with today,,16
 may i have a table in madrid,i'm on it,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 <SILENCE>,any preference on a type of cuisine,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 with french cuisine,how many people would be in your party,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 we will be four,which price range are looking for,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 in a cheap price range please,ok let me look into some options for you,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 <SILENCE>,what do you think of this option: resto_madrid_cheap_french_8stars,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 no this does not work for me,sure let me find an other option for you,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 <SILENCE>,what do you think of this option: resto_madrid_cheap_french_7stars,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 do you have something else,sure let me find an other option for you,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 <SILENCE>,what do you think of this option: resto_madrid_cheap_french_5stars,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 let's do it,great let me do the reservation,<KB> resto_madrid_cheap_french_5stars resto_madrid_cheap_french_7stars ,16
 hi,hello what can i help you with today,,17
 may i have a table in a moderate price range,i'm on it,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 <SILENCE>,any preference on a type of cuisine,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 with british cuisine,where should it be,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 in bombay,how many people would be in your party,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 for six please,ok let me look into some options for you,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 <SILENCE>,what do you think of this option: resto_bombay_moderate_british_8stars,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 let's do it,great let me do the reservation,<KB> resto_bombay_moderate_british_2stars resto_bombay_moderate_british_3stars ,17
 good morning,hello what can i help you with today,,18
 may i have a table,i'm on it,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 <SILENCE>,any preference on a type of cuisine,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 i love italian food,where should it be,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 paris please,how many people would be in your party,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 for eight people please,which price range are looking for,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_6stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_5stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 do you have something else,sure let me find an other option for you,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 <SILENCE>,what do you think of this option: resto_paris_moderate_italian_2stars,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 i love that,great let me do the reservation,<KB> resto_paris_moderate_italian_5stars resto_paris_moderate_italian_6stars ,18
 hello,hello what can i help you with today,,19
 may i have a table with british cuisine in rome,i'm on it,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 <SILENCE>,how many people would be in your party,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 for two please,which price range are looking for,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 i am looking for a moderate restaurant,ok let me look into some options for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_8stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_4stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 <SILENCE>,what do you think of this option: resto_rome_moderate_british_2stars,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 let's do it,great let me do the reservation,<KB> resto_rome_moderate_british_4stars resto_rome_moderate_british_8stars ,19
 good morning,hello what can i help you with today,,20
 i'd like to book a table in a expensive price range with spanish food in paris for four,i'm on it,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 <SILENCE>,ok let me look into some options for you,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_8stars,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_7stars,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 no i don't like that,sure let me find an other option for you,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 <SILENCE>,what do you think of this option: resto_paris_expensive_spanish_3stars,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 i love that,great let me do the reservation,<KB> resto_paris_expensive_spanish_7stars resto_paris_expensive_spanish_8stars ,20
 hi,hello what can i help you with today,,21
 may i have a table,i'm on it,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 <SILENCE>,any preference on a type of cuisine,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 i love spanish food,where should it be,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 rome please,how many people would be in your party,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 for four please,which price range are looking for,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 in a moderate price range please,ok let me look into some options for you,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 <SILENCE>,what do you think of this option: resto_rome_moderate_spanish_8stars,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 no i don't like that,sure let me find an other option for you,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 <SILENCE>,what do you think of this option: resto_rome_moderate_spanish_7stars,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 it's perfect,great let me do the reservation,<KB> resto_rome_moderate_spanish_5stars resto_rome_moderate_spanish_6stars ,21
 hi,hello what can i help you with today,,22
 may i have a table with spanish food in london for two people,i'm on it,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 <SILENCE>,which price range are looking for,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 i am looking for a expensive restaurant,ok let me look into some options for you,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 <SILENCE>,what do you think of this option: resto_london_expensive_spanish_8stars,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 do you have something else,sure let me find an other option for you,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 <SILENCE>,what do you think of this option: resto_london_expensive_spanish_3stars,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 do you have something else,sure let me find an other option for you,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 <SILENCE>,what do you think of this option: resto_london_expensive_spanish_1stars,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 it's perfect,great let me do the reservation,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,22
 hello,hello what can i help you with today,,23
 i'd like to book a table with indian food for two in madrid in a expensive price range,i'm on it,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 <SILENCE>,ok let me look into some options for you,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 <SILENCE>,what do you think of this option: resto_madrid_expensive_indian_7stars,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 no this does not work for me,sure let me find an other option for you,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 <SILENCE>,what do you think of this option: resto_madrid_expensive_indian_5stars,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 do you have something else,sure let me find an other option for you,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 <SILENCE>,what do you think of this option: resto_madrid_expensive_indian_4stars,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 no i don't like that,sure let me find an other option for you,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 <SILENCE>,what do you think of this option: resto_madrid_expensive_indian_1stars,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 let's do it,great let me do the reservation,<KB> resto_madrid_expensive_indian_1stars resto_madrid_expensive_indian_5stars ,23
 hi,hello what can i help you with today,,24
 can you book a table in london in a expensive price range for two people with spanish food,i'm on it,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,24
 <SILENCE>,ok let me look into some options for you,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,24
 <SILENCE>,what do you think of this option: resto_london_expensive_spanish_8stars,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,24
 no this does not work for me,sure let me find an other option for you,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,24
 <SILENCE>,what do you think of this option: resto_london_expensive_spanish_3stars,<KB> resto_london_expensive_spanish_1stars resto_london_expensive_spanish_3stars ,24
