,source_text,target_text,pred_text
17,<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six cheap <user> instead could it be with japanese food <system> sure is there anything else to update <user> instead could it be in bangkok <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese bangkok four cheap,api_call japanese bangkok four cheap
18,<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six cheap <user> instead could it be with japanese food <system> sure is there anything else to update <user> instead could it be in bangkok <system> sure is there anything else to update <user> actually i would prefer for four people <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok four cheap <query>  you rock,you're welcome,sure is there anything else to update
19,<query> may i have a table in bangkok for six people in a expensive price range with thai food,i'm on it,i'm on it
20,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
21,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai bangkok six expensive,api_call thai bangkok six expensive
22,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai bangkok six expensive <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything else to update
23,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai bangkok six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
24,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai bangkok six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call thai bangkok six moderate,api_call thai bangkok six moderate
25,<context> <user> may i have a table in bangkok for six people in a expensive price range with thai food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai bangkok six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai bangkok six moderate <query> you rock,you're welcome,api_call thai bangkok six moderate
26,<query> i'd like to book a table for six people with korean food in seoul in a moderate price range,i'm on it,i'm on it
27,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
28,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul six moderate,api_call korean seoul six moderate
29,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean seoul six moderate <query> instead could it be in hanoi,sure is there anything else to update,sure is there anything else to update
30,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean seoul six moderate <user> instead could it be in hanoi <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
31,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean seoul six moderate <user> instead could it be in hanoi <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call korean hanoi six moderate,api_call korean hanoi six moderate
32,<context> <user> i'd like to book a table for six people with korean food in seoul in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean seoul six moderate <user> instead could it be in hanoi <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi six moderate <query> thank you,you're welcome,api_call korean hanoi six moderate
33,<query> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people,i'm on it,i'm on it
34,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
35,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call korean hanoi eight cheap,api_call korean hanoi eight cheap
36,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi eight cheap <query> instead could it be in bangkok,sure is there anything else to update,sure is there anything else to update
37,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi eight cheap <user> instead could it be in bangkok <system> sure is there anything else to update <query> instead could it be with vietnamese cuisine,sure is there anything else to update,sure is there anything else to update
38,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi eight cheap <user> instead could it be in bangkok <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
39,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi eight cheap <user> instead could it be in bangkok <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese bangkok eight cheap,api_call vietnamese bombay eight cheap
40,<context> <user> can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean hanoi eight cheap <user> instead could it be in bangkok <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese bangkok eight cheap <query> thanks,you're welcome,api_call vietnamese bombay eight cheap
41,<query> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing,i'm on it,i'm on it
42,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
43,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese beijing six expensive,api_call vietnamese beijing six expensive
44,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <query> actually i would prefer with korean food,sure is there anything else to update,sure is there anything else to update
45,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <user> actually i would prefer with korean food <system> sure is there anything else to update <query> actually i would prefer in a cheap price range,sure is there anything else to update,sure is there anything else to update
46,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <user> actually i would prefer with korean food <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <query> instead could it be in tokyo,sure is there anything else to update,sure is there anything else to update
47,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <user> actually i would prefer with korean food <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be in tokyo <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
48,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <user> actually i would prefer with korean food <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be in tokyo <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call korean tokyo six cheap,api_call korean tokyo six cheap
49,<context> <user> can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six expensive <user> actually i would prefer with korean food <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be in tokyo <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean tokyo six cheap <query>  you rock,you're welcome,api_call korean tokyo six cheap
50,<query> can you book a table for eight in bangkok with japanese cuisine in a moderate price range,i'm on it,i'm on it
51,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
52,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese bangkok eight moderate,api_call japan eight moderate
53,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <query> instead could it be in tokyo,sure is there anything else to update,sure is there anything else to update
54,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <query> actually i would prefer for two people,sure is there anything else to update,sure is there anything else to update
55,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <query> actually i would prefer in a cheap price range,sure is there anything else to update,sure is there anything else to update
56,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <query> instead could it be with vietnamese cuisine,sure is there anything else to update,sure is there anything else to update
57,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
58,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call vietnamese tokyo two cheap,api_call vietnamese tokyo two cheap
59,<context> <user> can you book a table for eight in bangkok with japanese cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese bangkok eight moderate <user> instead could it be in tokyo <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> instead could it be with vietnamese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call vietnamese tokyo two cheap <query>  thank you,you're welcome,api_call vietnamese tokyo two cheap
60,<query> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range,i'm on it,i'm on it
61,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
62,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call korean beijing eight moderate,api_call korean beijing eight moderate
63,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean beijing eight moderate <query> actually i would prefer for two,sure is there anything else to update,sure is there anything else to update
64,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean beijing eight moderate <user> actually i would prefer for two <system> sure is there anything else to update <query> actually i would prefer with japanese cuisine,sure is there anything else to update,sure is there anything else to update
65,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean beijing eight moderate <user> actually i would prefer for two <system> sure is there anything else to update <user> actually i would prefer with japanese cuisine <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
66,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean beijing eight moderate <user> actually i would prefer for two <system> sure is there anything else to update <user> actually i would prefer with japanese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese beijing two moderate,api_call japanese beijing two moderate
67,<context> <user> can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean beijing eight moderate <user> actually i would prefer for two <system> sure is there anything else to update <user> actually i would prefer with japanese cuisine <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese beijing two moderate <query> thanks,you're welcome,api_call japanese paris two moderate
68,<query> can you book a table with cantonese cuisine in a expensive price range for six in seoul,i'm on it,i'm on it
69,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
70,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul six expensive,api_call cantonese seoul six expensive
71,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything else to update
72,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> actually i would prefer in beijing,sure is there anything else to update,sure is there anything else to update
73,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer in beijing <system> sure is there anything else to update <query> actually i would prefer with japanese food,sure is there anything else to update,sure is there anything else to update
74,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer with japanese food <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
75,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer with japanese food <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese beijing six moderate,api_call japanese beijing six moderate
76,<context> <user> can you book a table with cantonese cuisine in a expensive price range for six in seoul <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese seoul six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer with japanese food <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call japanese beijing six moderate <query>  you rock,you're welcome,api_call japanese beijing six moderate
77,<query> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight,i'm on it,i'm on it
78,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
79,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo eight expensive,api_call thai tokyo eight expensive
80,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo eight expensive <query> actually i would prefer in beijing,sure is there anything else to update,sure is there anything else to update
81,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo eight expensive <user> actually i would prefer in beijing <system> sure is there anything else to update <query> actually i would prefer for four,sure is there anything else to update,sure is there anything else to update
82,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo eight expensive <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer for four <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
83,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo eight expensive <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer for four <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call thai beijing four expensive,api_call thai beijing four expensive
84,<context> <user> i'd like to book a table in a expensive price range in tokyo with thai cuisine for eight <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo eight expensive <user> actually i would prefer in beijing <system> sure is there anything else to update <user> actually i would prefer for four <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai beijing four expensive <query> thank you,you're welcome,api_call thai beijing four expensive
85,<query> may i have a table with cantonese food in a moderate price range in beijing for six people,i'm on it,i'm on it
86,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
87,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing six moderate,api_call cantonese beijing six moderate
88,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese beijing six moderate <query> instead could it be for four,sure is there anything else to update,sure is there anything else to update
89,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese beijing six moderate <user> instead could it be for four <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
90,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese beijing six moderate <user> instead could it be for four <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing four moderate,api_call cantonese beijing four moderate
91,<context> <user> may i have a table with cantonese food in a moderate price range in beijing for six people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese beijing six moderate <user> instead could it be for four <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call cantonese beijing four moderate <query> you rock,you're welcome,api_call cantonese beijing four moderate
92,<query> can you book a table in a moderate price range for eight people in bangkok with korean cuisine,i'm on it,i'm on it
93,<context> <user> can you book a table in a moderate price range for eight people in bangkok with korean cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
94,<context> <user> can you book a table in a moderate price range for eight people in bangkok with korean cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call korean bangkok eight moderate,api_call korean bangkok eight moderate
95,<context> <user> can you book a table in a moderate price range for eight people in bangkok with korean cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call korean bangkok eight moderate <query> actually i would prefer in beijing,sure is there anything else to update,sure is there anything else to update
