,source_text,target_text,pred_text
34,<context> <user> i'd like to book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> london please <system> how many people would be in your party <query> for two people please,ok let me look into some options for you,ok let me look into some options for you
35,<context> <user> i'd like to book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> london please <system> how many people would be in your party <user> for two people please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london two moderate,api_call spanish london two moderate
36,<query> i'd like to book a table in a expensive price range in london with british cuisine,i'm on it,i'm on it
37,<context> <user> i'd like to book a table in a expensive price range in london with british cuisine <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
38,<context> <user> i'd like to book a table in a expensive price range in london with british cuisine <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for two people please,ok let me look into some options for you,which price range are looking for
39,<context> <user> i'd like to book a table in a expensive price range in london with british cuisine <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> ok let me look into some options for you <query> <SILENCE>,api_call british london two expensive,api_call british london two expensive
40,<query> i'd like to book a table for two with indian cuisine,i'm on it,i'm on it
41,<context> <user> i'd like to book a table for two with indian cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
42,<context> <user> i'd like to book a table for two with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in bombay,which price range are looking for,which price range are looking for
43,<context> <user> i'd like to book a table for two with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,which price range are looking for
44,<context> <user> i'd like to book a table for two with indian cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call indian bombay two expensive,api_call indian bombay two expensive
45,<query> can you make a restaurant reservation for four with spanish cuisine in a moderate price range in madrid,i'm on it,i'm on it
46,<context> <user> can you make a restaurant reservation for four with spanish cuisine in a moderate price range in madrid <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options
47,<context> <user> can you make a restaurant reservation for four with spanish cuisine in a moderate price range in madrid <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid four moderate,api_call spanish madrid four moderate
48,<query> can you make a restaurant reservation,i'm on it,i'm on it
49,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
50,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with british cuisine,where should it be,where should it be
51,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british cuisine <system> where should it be <query> bombay please,how many people would be in your party,how many people would be in your party
52,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british cuisine <system> where should it be <user> bombay please <system> how many people would be in your party <query> we will be four,which price range are looking for,which price range are looking for
53,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british cuisine <system> where should it be <user> bombay please <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
54,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with british cuisine <system> where should it be <user> bombay please <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay four moderate,api_call british bombay four moderate
55,<query> may i have a table for four people with spanish cuisine in a moderate price range in madrid,i'm on it,i'm on it
56,<context> <user> may i have a table for four people with spanish cuisine in a moderate price range in madrid <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
57,<context> <user> may i have a table for four people with spanish cuisine in a moderate price range in madrid <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid four moderate,api_call spanish madrid four moderate
58,<query> may i have a table,i'm on it,i'm on it
59,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
60,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with indian food,where should it be,where should it be
61,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian food <system> where should it be <query> in bombay,how many people would be in your party,how many people would be in your party
62,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian food <system> where should it be <user> in bombay <system> how many people would be in your party <query> for two people please,which price range are looking for,which price range are looking for
63,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian food <system> where should it be <user> in bombay <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
64,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian food <system> where should it be <user> in bombay <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call indian bombay two cheap,api_call indian bombay two cheap
65,<query> can you make a restaurant reservation in madrid,i'm on it,i'm on it
66,<context> <user> can you make a restaurant reservation in madrid <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
67,<context> <user> can you make a restaurant reservation in madrid <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love indian food,how many people would be in your party,how many people would be in your party
68,<context> <user> can you make a restaurant reservation in madrid <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> how many people would be in your party <query> we will be four,which price range are looking for,which price range are looking for
69,<context> <user> can you make a restaurant reservation in madrid <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
70,<context> <user> can you make a restaurant reservation in madrid <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid four moderate,api_call indian madrid four moderate
71,<query> may i have a table for two people with spanish cuisine in a moderate price range,i'm on it,i'm on it
72,<context> <user> may i have a table for two people with spanish cuisine in a moderate price range <system> i'm on it <query> <SILENCE>,where should it be,where should it be
73,<context> <user> may i have a table for two people with spanish cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> paris please,ok let me look into some options for you,ok let me look into some options for
74,<context> <user> may i have a table for two people with spanish cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish paris two moderate,api_call spanish paris two moderate
75,<query> may i have a table in london with indian cuisine for two people in a moderate price range,i'm on it,i'm on it
76,<context> <user> may i have a table in london with indian cuisine for two people in a moderate price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
77,<context> <user> may i have a table in london with indian cuisine for two people in a moderate price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian london two moderate,api_call indian london two moderate
78,<query> can you make a restaurant reservation with spanish food,i'm on it,i'm on it
79,<context> <user> can you make a restaurant reservation with spanish food <system> i'm on it <query> <SILENCE>,where should it be,where should it be
80,<context> <user> can you make a restaurant reservation with spanish food <system> i'm on it <user> <SILENCE> <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
81,<context> <user> can you make a restaurant reservation with spanish food <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <query> for two people please,which price range are looking for,which price range are looking for
82,<context> <user> can you make a restaurant reservation with spanish food <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
83,<context> <user> can you make a restaurant reservation with spanish food <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london two cheap,api_call spanish london two cheap
84,<query> may i have a table in a moderate price range for two in rome with italian cuisine,i'm on it,i'm on it
85,<context> <user> may i have a table in a moderate price range for two in rome with italian cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
86,<context> <user> may i have a table in a moderate price range for two in rome with italian cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call italian rome two moderate,api_call italian rome two moderate
87,<query> can you make a restaurant reservation in a expensive price range with british cuisine in rome for eight people,i'm on it,i'm on it
88,<context> <user> can you make a restaurant reservation in a expensive price range with british cuisine in rome for eight people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
89,<context> <user> can you make a restaurant reservation in a expensive price range with british cuisine in rome for eight people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british rome eight expensive,api_call british rome eight expensive
90,<query> may i have a table in london with spanish cuisine,i'm on it,i'm on it
91,<context> <user> may i have a table in london with spanish cuisine <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
92,<context> <user> may i have a table in london with spanish cuisine <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be six,which price range are looking for,which price range are looking for
93,<context> <user> may i have a table in london with spanish cuisine <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
94,<context> <user> may i have a table in london with spanish cuisine <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london six moderate,api_call spanish london six moderate
95,<query> i'd like to book a table for six people with indian cuisine in a moderate price range,i'm on it,i'm on it
96,<context> <user> i'd like to book a table for six people with indian cuisine in a moderate price range <system> i'm on it <query> <SILENCE>,where should it be,where should it be
97,<context> <user> i'd like to book a table for six people with indian cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> in bombay,ok let me look into some options for you,ok let me look into some options for you
98,<context> <user> i'd like to book a table for six people with indian cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> ok let me look into some options for you <query> <SILENCE>,api_call indian bombay six moderate,api_call indian bombay six moderate
99,<query> may i have a table in a moderate price range in rome,i'm on it,i'm on it
100,<context> <user> may i have a table in a moderate price range in rome <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
101,<context> <user> may i have a table in a moderate price range in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love british food,how many people would be in your party,how many people would be in your party
102,<context> <user> may i have a table in a moderate price range in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> how many people would be in your party <query> we will be four,ok let me look into some options for you,ok let me look into some options for you
103,<context> <user> may i have a table in a moderate price range in rome <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love british food <system> how many people would be in your party <user> we will be four <system> ok let me look into some options for you <query> <SILENCE>,api_call british rome four moderate,api_call british rome four moderate
104,<query> i'd like to book a table with spanish food in rome for four people,i'm on it,i'm on it
105,<context> <user> i'd like to book a table with spanish food in rome for four people <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
106,<context> <user> i'd like to book a table with spanish food in rome for four people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you,ok let me look into some options for you
107,<context> <user> i'd like to book a table with spanish food in rome for four people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish rome four moderate,api_call spanish rome four moderate
108,<query> may i have a table,i'm on it,i'm on it
109,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
110,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish food,where should it be,where should it be
111,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <query> in bombay,how many people would be in your party,how many people would be in your party
112,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <user> in bombay <system> how many people would be in your party <query> for six please,which price range are looking for,which price range are looking for
113,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <user> in bombay <system> how many people would be in your party <user> for six please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,ok let me look into some options for you
114,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <user> in bombay <system> how many people would be in your party <user> for six please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish bombay six expensive,api_call spanish bombay six expensive
115,<query> may i have a table in a expensive price range with italian food,i'm on it,i'm on it
116,<context> <user> may i have a table in a expensive price range with italian food <system> i'm on it <query> <SILENCE>,where should it be,where should it be
117,<context> <user> may i have a table in a expensive price range with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
118,<context> <user> may i have a table in a expensive price range with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <query> for eight people please,ok let me look into some options for you,ok let me look into some options for you
119,<context> <user> may i have a table in a expensive price range with italian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> london please <system> how many people would be in your party <user> for eight people please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian london eight expensive,api_call italian london eight expensive
120,<query> can you make a restaurant reservation in madrid for two people,i'm on it,i'm on it
121,<context> <user> can you make a restaurant reservation in madrid for two people <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
122,<context> <user> can you make a restaurant reservation in madrid for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with italian cuisine,which price range are looking for,which price range are looking for
123,<context> <user> can you make a restaurant reservation in madrid for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian cuisine <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
124,<context> <user> can you make a restaurant reservation in madrid for two people <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian cuisine <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call italian madrid two cheap,api_call italian madrid two cheap
125,<query> can you book a table with british food in rome in a expensive price range for four,i'm on it,i'm on it
126,<context> <user> can you book a table with british food in rome in a expensive price range for four <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
127,<context> <user> can you book a table with british food in rome in a expensive price range for four <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british rome four expensive,api_call british rome four expensive
128,<query> can you book a table for four people in a moderate price range with spanish cuisine in bombay,i'm on it,i'm on it
129,<context> <user> can you book a table for four people in a moderate price range with spanish cuisine in bombay <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
130,<context> <user> can you book a table for four people in a moderate price range with spanish cuisine in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish bombay four moderate,api_call spanish bombay four moderate
131,<query> can you book a table in bombay with french food in a cheap price range,i'm on it,i'm on it
132,<context> <user> can you book a table in bombay with french food in a cheap price range <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
133,<context> <user> can you book a table in bombay with french food in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be six,ok let me look into some options for you,ok let me look into some options for you
134,<context> <user> can you book a table in bombay with french food in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay six cheap,api_call french bombay six cheap
135,<query> i'd like to book a table in a expensive price range,i'm on it,i'm on it
136,<context> <user> i'd like to book a table in a expensive price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
137,<context> <user> i'd like to book a table in a expensive price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love indian food,where should it be,where should it be
138,<context> <user> i'd like to book a table in a expensive price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <query> in london,how many people would be in your party,how many people would be in your party
139,<context> <user> i'd like to book a table in a expensive price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> in london <system> how many people would be in your party <query> we will be two,ok let me look into some options for you,ok let me look into some options for you
140,<context> <user> i'd like to book a table in a expensive price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> in london <system> how many people would be in your party <user> we will be two <system> ok let me look into some options for you <query> <SILENCE>,api_call indian london two expensive,api_call indian london two expensive
141,<query> can you make a restaurant reservation in bombay in a moderate price range with french food,i'm on it,i'm on it
142,<context> <user> can you make a restaurant reservation in bombay in a moderate price range with french food <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
143,<context> <user> can you make a restaurant reservation in bombay in a moderate price range with french food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for six people please,ok let me look into some options for you,ok let me look into some options for you
144,<context> <user> can you make a restaurant reservation in bombay in a moderate price range with french food <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for six people please <system> ok let me look into some options for you <query> <SILENCE>,api_call french bombay six moderate,api_call french bombay six moderate
145,<query> can you make a restaurant reservation in london in a cheap price range for four with french cuisine,i'm on it,i'm on it
146,<context> <user> can you make a restaurant reservation in london in a cheap price range for four with french cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
147,<context> <user> can you make a restaurant reservation in london in a cheap price range for four with french cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french london four cheap,api_call french london four cheap
148,<query> can you book a table in london for six in a moderate price range,i'm on it,i'm on it
149,<context> <user> can you book a table in london for six in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
150,<context> <user> can you book a table in london for six in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love french food,ok let me look into some options for you,ok let me look into some options for you
151,<context> <user> can you book a table in london for six in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love french food <system> ok let me look into some options for you <query> <SILENCE>,api_call french london six moderate,api_call french london six moderate
152,<query> can you make a restaurant reservation with indian cuisine in rome,i'm on it,i'm on it
153,<context> <user> can you make a restaurant reservation with indian cuisine in rome <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
154,<context> <user> can you make a restaurant reservation with indian cuisine in rome <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be six,which price range are looking for,which price range are looking for
155,<context> <user> can you make a restaurant reservation with indian cuisine in rome <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
156,<context> <user> can you make a restaurant reservation with indian cuisine in rome <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian rome six expensive,api_call indian rome six expensive
157,<query> can you book a table,i'm on it,i'm on it
158,<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
159,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love italian food,where should it be,where should it be
160,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <query> in london,how many people would be in your party,how many people would be in your party
161,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <query> for four please,which price range are looking for,which price range are looking for
162,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
163,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call italian london four cheap,api_call italian london four cheap
164,<query> i'd like to book a table,i'm on it,i'm on it
165,<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
166,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love indian food,where should it be,where should it be
167,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
168,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> london please <system> how many people would be in your party <query> for six please,which price range are looking for,which price range are looking for
169,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> london please <system> how many people would be in your party <user> for six please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,ok let me look into some options for you
