,source_text,target_text,pred_text
63,<context> <user> can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish rome six expensive <user> instead could it be with italian cuisine <system> sure is there anything else to update <user> instead could it be in london <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> actually i would prefer in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call italian london two cheap <query>  thank you,you're welcome,sure is there anything else to update
64,<query> can you make a restaurant reservation in a expensive price range for two in madrid with british food,i'm on it,i'm on it
65,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
66,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid two expensive,api_call british madrid two expensive
67,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <query> instead could it be in a moderate price range,sure is there anything else to update,sure is there anything else to update
68,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> actually i would prefer with spanish food,sure is there anything else to update,sure is there anything else to update
69,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer with spanish food <system> sure is there anything else to update <query> actually i would prefer for eight,sure is there anything else to update,sure is there anything else to update
70,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for eight <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
71,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for eight <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid eight moderate,api_call spanish madrid eight moderate
72,<context> <user> can you make a restaurant reservation in a expensive price range for two in madrid with british food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid two expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer with spanish food <system> sure is there anything else to update <user> actually i would prefer for eight <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call spanish madrid eight moderate <query>  thank you,you're welcome,api_call spanish madrid eight moderate
73,<query> i'd like to book a table with french cuisine in a expensive price range in paris for two,i'm on it,i'm on it
74,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
75,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris two expensive,api_call french paris two expensive
76,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris two expensive <query> instead could it be for six,sure is there anything else to update,sure is there anything else to update
77,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris two expensive <user> instead could it be for six <system> sure is there anything else to update <query> instead could it be in a cheap price range,sure is there anything else to update,sure is there anything else to update
78,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris two expensive <user> instead could it be for six <system> sure is there anything else to update <user> instead could it be in a cheap price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
79,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris two expensive <user> instead could it be for six <system> sure is there anything else to update <user> instead could it be in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris six cheap,api_call french paris six cheap
80,<context> <user> i'd like to book a table with french cuisine in a expensive price range in paris for two <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris two expensive <user> instead could it be for six <system> sure is there anything else to update <user> instead could it be in a cheap price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris six cheap <query> thanks,you're welcome,api_call french paris six cheap
81,<query> may i have a table with french food in a expensive price range for four people in paris,i'm on it,i'm on it
82,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
83,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris four expensive,api_call french paris four expensive
84,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris four expensive <query> actually i would prefer in london,sure is there anything else to update,sure is there anything else to update
85,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris four expensive <user> actually i would prefer in london <system> sure is there anything else to update <query> actually i would prefer in a moderate price range,sure is there anything else to update,sure is there anything else to update
86,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris four expensive <user> actually i would prefer in london <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
87,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris four expensive <user> actually i would prefer in london <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call french london four moderate,api_call french london four moderate
88,<context> <user> may i have a table with french food in a expensive price range for four people in paris <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french paris four expensive <user> actually i would prefer in london <system> sure is there anything else to update <user> actually i would prefer in a moderate price range <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call french london four moderate <query> thanks,you're welcome,api_call french london four moderate
89,<query> may i have a table with indian food for six people in a cheap price range in rome,i'm on it,i'm on it
90,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
91,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian rome six cheap,api_call indian rome six cheap
92,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian rome six cheap <query> actually i would prefer with italian food,sure is there anything else to update,sure is there anything else to update
93,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian rome six cheap <user> actually i would prefer with italian food <system> sure is there anything else to update <query> instead could it be in paris,sure is there anything else to update,sure is there anything else to update
94,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian rome six cheap <user> actually i would prefer with italian food <system> sure is there anything else to update <user> instead could it be in paris <system> sure is there anything else to update <query> instead could it be for four,sure is there anything else to update,sure is there anything else to update
95,<context> <user> may i have a table with indian food for six people in a cheap price range in rome <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call indian rome six cheap <user> actually i would prefer with italian food <system> sure is there anything else to update <user> instead could it be in paris <system> sure is there anything else to update <user> instead could it be for four <system> sure is there anything else to update <query> no,ok let me look into some options for you,ok let me look into some options for you
