,source_text,target_text,pred_text
14,<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
15,<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,which price range are looking for,which price range are looking for
16,<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
17,<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight cheap,api_call korean seoul eight cheap
18,<query> may i have a table with cantonese cuisine in a cheap price range in seoul for two people,i'm on it,i'm on it
19,<context> <user> may i have a table with cantonese cuisine in a cheap price range in seoul for two people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
20,<context> <user> may i have a table with cantonese cuisine in a cheap price range in seoul for two people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul two cheap,api_call cantonese seoul two cheap
21,<query> may i have a table in a expensive price range for two,i'm on it,i'm on it
22,<context> <user> may i have a table in a expensive price range for two <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
23,<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love cantonese food,where should it be,where should it be
24,<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <query> in beijing,ok let me look into some options for you,ok let me look into some options for you
25,<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in beijing <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing two expensive,api_call cantonese beijing two expensive
26,<query> may i have a table with vietnamese cuisine for two in a cheap price range,i'm on it,i'm on it
27,<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <query> <SILENCE>,where should it be,where should it be
28,<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> seoul please,ok let me look into some options for you,ok let me look into some options for you
29,<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese seoul two cheap,api_call vietnamese seoul two cheap
30,<query> i'd like to book a table,i'm on it,i'm on it
31,<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
32,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai food,where should it be,where should it be
33,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <query> tokyo please,how many people would be in your party,how many people would be in your party
34,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <query> for four please,which price range are looking for,which price range are looking for
35,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
36,<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo four moderate,api_call thai tokyo four moderate
37,<query> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range,i'm on it,i'm on it
38,<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
39,<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be eight,ok let me look into some options for you,ok let me look into some options for you
40,<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be eight <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese bangkok eight cheap,api_call cantonese bangkok eight cheap
41,<query> can you make a restaurant reservation for two people in seoul,i'm on it,i'm on it
42,<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
43,<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,which price range are looking for,which price range are looking for
44,<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into you
45,<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul two cheap,api_call korean seoul two cheap
46,<query> may i have a table,i'm on it,i'm on it
47,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
48,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,where should it be,where should it be
49,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <query> tokyo please,how many people would be in your party,how many people would be in your party
50,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <query> we will be six,which price range are looking for,which price range are looking for
51,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
52,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean tokyo six moderate,api_call korean tokyo six moderate
53,<query> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range,i'm on it,i'm on it
54,<context> <user> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
55,<context> <user> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing six cheap,api_call cantonese beijing six cheap
56,<query> can you make a restaurant reservation with vietnamese food in hanoi,i'm on it,i'm on it
57,<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
58,<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for two people please,which price range are looking for,which price range are looking for
59,<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
60,<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi two cheap,api_call Vietnamese hanoi two cheap
61,<query> can you make a restaurant reservation,i'm on it,i'm on it
62,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
63,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with cantonese cuisine,where should it be,where should it be
64,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <query> in seoul,how many people would be in your party,how many people would be in your party
65,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <query> for eight people please,which price range are looking for,which price range are looking for
66,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
67,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul eight expensive,api_call cantonese seoul eight expensive
68,<query> may i have a table in a cheap price range with vietnamese food in hanoi,i'm on it,i'm on it
69,<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
70,<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be four,ok let me look into some options for you,ok let me look into some options for you
71,<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be four <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi four cheap,api_call vietnamese hanoi four cheap
72,<query> can you book a table,i'm on it,i'm on it
73,<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
74,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,where should it be,where should it be
75,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <query> in hanoi,how many people would be in your party,how many people would be in your party
76,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <query> for eight please,which price range are looking for,which price range are looking for
77,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
78,<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <user> for eight please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call korean hanoi eight cheap,api_call korean hanoi eight cheap
79,<query> i'd like to book a table with korean cuisine for eight,i'm on it,i'm on it
80,<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <query> <SILENCE>,where should it be,where should it be
81,<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <query> seoul please,which price range are looking for,which price range are looking for
82,<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
83,<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight moderate,api_call korean seoul eight moderate
84,<query> may i have a table with thai cuisine for two people in beijing in a cheap price range,i'm on it,i'm on it
85,<context> <user> may i have a table with thai cuisine for two people in beijing in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
86,<context> <user> may i have a table with thai cuisine for two people in beijing in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai beijing two cheap,api_call thai beijing two cheap
87,<query> can you make a restaurant reservation,i'm on it,i'm on it
88,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
89,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with vietnamese cuisine,where should it be,where should it be
90,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <query> hanoi please,how many people would be in your party,how many people would be in your party
91,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <query> for six people please,which price range are looking for,which price range are looking for
92,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <user> for six people please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
93,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <user> for six people please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi six cheap,api_call vietnamese hanoi six cheap
94,<query> i'd like to book a table in bangkok,i'm on it,i'm on it
95,<context> <user> i'd like to book a table in bangkok <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
96,<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with vietnamese cuisine,how many people would be in your party,how many people would be in your party
97,<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <query> for two please,which price range are looking for,which price range are looking for
98,<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <user> for two please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
99,<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <user> for two please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese bangkok two cheap,api_call vietnam two cheap
100,<query> can you book a table with korean cuisine in beijing,i'm on it,i'm on it
101,<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
102,<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for eight please,which price range are looking for,which price range are looking for
103,<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
104,<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call korean beijing eight expensive,api_call korean beijing eight expensive
105,<query> may i have a table in seoul,i'm on it,i'm on it
106,<context> <user> may i have a table in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
107,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,how many people would be in your party,how many people would be in your party
108,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <query> we will be six,which price range are looking for,which price range are looking for
109,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
110,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call thai seoul six expensive,api_call thai seoul six expensive
111,<query> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four,i'm on it,i'm on it
112,<context> <user> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
113,<context> <user> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi four moderate,api_call vietnamese hanoi four moderate
114,<query> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine,i'm on it,i'm on it
115,<context> <user> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
116,<context> <user> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai beijing six expensive,api_call thai beijing six expensive
117,<query> can you make a restaurant reservation,i'm on it,i'm on it
118,<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
119,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,where should it be,where should it be
120,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <query> seoul please,how many people would be in your party,how many people would be in your party
121,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <query> for two please,which price range are looking for,which price range are looking for
122,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <user> for two please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,ok let me look into some options for you
123,<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <user> for two please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul two expensive,api_call korean seoul two expensive
124,<query> can you book a table in a moderate price range with cantonese food for eight in tokyo,i'm on it,i'm on it
125,<context> <user> can you book a table in a moderate price range with cantonese food for eight in tokyo <system> i'm on it <query> <SILENCE>,ok let me look into some options for you,ok let me look into some options for you
126,<context> <user> can you book a table in a moderate price range with cantonese food for eight in tokyo <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese tokyo eight moderate,api_call cantonese in tokyo eight moderate
127,<query> i'd like to book a table for six with thai cuisine,i'm on it,i'm on it
128,<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
129,<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in hanoi,which price range are looking for,which price range are looking for
130,<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in hanoi <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
131,<context> <user> i'd like to book a table for six with thai cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in hanoi <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai hanoi six moderate,api_call thai hanoi six moderate
132,<query> can you book a table in seoul with cantonese food for six people,i'm on it,i'm on it
133,<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
134,<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
135,<context> <user> can you book a table in seoul with cantonese food for six people <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul six expensive,api_call cantonese seoul six expensive
136,<query> may i have a table,i'm on it,i'm on it
137,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any type of commerce
138,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love cantonese food,where should it be,where should it be
139,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <query> in bangkok,how many people would be in your party,how many people would be in your party
140,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <query> we will be four,which price range are looking for,which price range are looking for
141,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you,ok let me look into some options for you
142,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in bangkok <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese bangkok four cheap,api_call cantonese bangkok four cheap
143,<query> may i have a table for eight in seoul,i'm on it,i'm on it
144,<context> <user> may i have a table for eight in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
145,<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,which price range are looking for,which price range are looking for
146,<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
147,<context> <user> may i have a table for eight in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight moderate,api_call korean seoul eight moderate
148,<query> can you book a table in tokyo in a moderate price range,i'm on it,i'm on it
149,<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
150,<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love japanese food,how many people would be in your party,how many people would be in your party
151,<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <query> for four please,ok let me look into some options for you,ok let me look into some options for you
152,<context> <user> can you book a table in tokyo in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese tokyo four moderate,api_call japan four moderate
153,<query> may i have a table in tokyo,i'm on it,i'm on it
154,<context> <user> may i have a table in tokyo <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
155,<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love japanese food,how many people would be in your party,where should it be
156,<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <query> for four please,which price range are looking for,which price range are looking for
157,<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
158,<context> <user> may i have a table in tokyo <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love japanese food <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call japanese tokyo four cheap,api_call japan four cheap
159,<query> can you book a table with vietnamese food for four people,i'm on it,i'm on it
160,<context> <user> can you book a table with vietnamese food for four people <system> i'm on it <query> <SILENCE>,where should it be,where should it be
